# Monthly births in Manitoba Canada; 1921-65,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics'. Proceedings of the Royal Society of London Series B 270:1573-1578,,
# See the IIDDA website for a list of all papers that have used this data file.,,
year,month,births
1921,1,1482
1921,2,1382
1921,3,1686
1921,4,1656
1921,5,1560
1921,6,1551
1921,7,1505
1921,8,1576
1921,9,1574
1921,10,1537
1921,11,1420
1921,12,1549
1922,1,1574
1922,2,1445
1922,3,1604
1922,4,1504
1922,5,1553
1922,6,1457
1922,7,1568
1922,8,1537
1922,9,1466
1922,10,1355
1922,11,1319
1922,12,1297
1923,1,1331
1923,2,1384
1923,3,1492
1923,4,1466
1923,5,1421
1923,6,1295
1923,7,1432
1923,8,1428
1923,9,1390
1923,10,1379
1923,11,1218
1923,12,1236
1924,1,1277
1924,2,1278
1924,3,1375
1924,4,1355
1924,5,1308
1924,6,1259
1924,7,1281
1924,8,1321
1924,9,1263
1924,10,1255
1924,11,1217
1924,12,1265
1925,1,1252
1925,2,1150
1925,3,1295
1925,4,1278
1925,5,1317
1925,6,1287
1925,7,1234
1925,8,1314
1925,9,1221
1925,10,1176
1925,11,1179
1925,12,1164
1926,1,1190
1926,2,1197
1926,3,1316
1926,4,1275
1926,5,1250
1926,6,1179
1926,7,1249
1926,8,1229
1926,9,1266
1926,10,1134
1926,11,1191
1926,12,1185
1927,1,1134
1927,2,1122
1927,3,1262
1927,4,1241
1927,5,1182
1927,6,1188
1927,7,1177
1927,8,1215
1927,9,1175
1927,10,1197
1927,11,1131
1927,12,1123
1928,1,1210
1928,2,1116
1928,3,1324
1928,4,1357
1928,5,1189
1928,6,1109
1928,7,1152
1928,8,1235
1928,9,1239
1928,10,1212
1928,11,1153
1928,12,1208
1929,1,1262
1929,2,1097
1929,3,1223
1929,4,1140
1929,5,1230
1929,6,1202
1929,7,1213
1929,8,1285
1929,9,1135
1929,10,1177
1929,11,1113
1929,12,1159
1930,1,1220
1930,2,1159
1930,3,1261
1930,4,1263
1930,5,1246
1930,6,1194
1930,7,1267
1930,8,1269
1930,9,1248
1930,10,1162
1930,11,1072
1930,12,1050
1931,1,1228
1931,2,1052
1931,3,1308
1931,4,1221
1931,5,1191
1931,6,1213
1931,7,1297
1931,8,1218
1931,9,1226
1931,10,1189
1931,11,1128
1931,12,1105
1932,1,1168
1932,2,1156
1932,3,1270
1932,4,1181
1932,5,1193
1932,6,1126
1932,7,1166
1932,8,1218
1932,9,1230
1932,10,1171
1932,11,1080
1932,12,1165
1933,1,1154
1933,2,1102
1933,3,1253
1933,4,1172
1933,5,1158
1933,6,1097
1933,7,1172
1933,8,1110
1933,9,1077
1933,10,1046
1933,11,946
1933,12,1017
1934,1,1110
1934,2,1036
1934,3,1187
1934,4,1050
1934,5,1130
1934,6,1044
1934,7,1204
1934,8,1187
1934,9,1127
1934,10,1112
1934,11,1030
1934,12,1093
1935,1,1085
1935,2,997
1935,3,1179
1935,4,1176
1935,5,1145
1935,6,1111
1935,7,1201
1935,8,1142
1935,9,1110
1935,10,1174
1935,11,1031
1935,12,984
1936,1,1035
1936,2,1027
1936,3,1174
1936,4,1148
1936,5,1067
1936,6,1125
1936,7,1187
1936,8,1094
1936,9,1047
1936,10,1048
1936,11,920
1936,12,983
1937,1,1010
1937,2,981
1937,3,1213
1937,4,969
1937,5,1040
1937,6,1163
1937,7,1198
1937,8,1134
1937,9,1181
1937,10,1053
1937,11,924
1937,12,1022
1938,1,1098
1938,2,1035
1938,3,1149
1938,4,1123
1938,5,1112
1938,6,1192
1938,7,1250
1938,8,1151
1938,9,1163
1938,10,1083
1938,11,1045
1938,12,1077
1939,1,1092
1939,2,1010
1939,3,1275
1939,4,1159
1939,5,1207
1939,6,1153
1939,7,1210
1939,8,1154
1939,9,1179
1939,10,1137
1939,11,1060
1939,12,947
1940,1,1085
1940,2,1053
1940,3,1224
1940,4,1193
1940,5,1243
1940,6,1258
1940,7,1344
1940,8,1381
1940,9,1335
1940,10,1215
1940,11,1217
1940,12,1223
1941,1,1180
1941,2,1106
1941,3,1251
1941,4,1366
1941,5,1347
1941,6,1262
1941,7,1295
1941,8,1298
1941,9,1245
1941,10,1152
1941,11,1133
1941,12,1177
1942,1,1222
1942,2,1138
1942,3,1329
1942,4,1249
1942,5,1375
1942,6,1338
1942,7,1453
1942,8,1352
1942,9,1366
1942,10,1323
1942,11,1228
1942,12,1297
1943,1,1356
1943,2,1296
1943,3,1439
1943,4,1361
1943,5,1497
1943,6,1408
1943,7,1452
1943,8,1461
1943,9,1411
1943,10,1334
1943,11,1216
1943,12,1181
1944,1,1254
1944,2,1257
1944,3,1427
1944,4,1345
1944,5,1447
1944,6,1419
1944,7,1440
1944,8,1285
1944,9,1367
1944,10,1253
1944,11,1248
1944,12,1266
1945,1,1296
1945,2,1171
1945,3,1392
1945,4,1383
1945,5,1477
1945,6,1386
1945,7,1449
1945,8,1349
1945,9,1380
1945,10,1343
1945,11,1297
1945,12,1330
1946,1,1286
1946,2,1263
1946,3,1524
1946,4,1562
1946,5,1648
1946,6,1620
1946,7,1735
1946,8,1705
1946,9,1649
1946,10,1645
1946,11,1575
1946,12,1582
1947,1,1662
1947,2,1512
1947,3,1828
1947,4,1827
1947,5,1884
1947,6,1865
1947,7,1893
1947,8,1711
1947,9,1655
1947,10,1611
1947,11,1462
1947,12,1499
1948,1,1528
1948,2,1451
1948,3,1642
1948,4,1581
1948,5,1670
1948,6,1668
1948,7,1655
1948,8,1629
1948,9,1614
1948,10,1504
1948,11,1473
1948,12,1455
1949,1,1441
1949,2,1436
1949,3,1729
1949,4,1560
1949,5,1790
1949,6,1716
1949,7,1709
1949,8,1709
1949,9,1680
1949,10,1605
1949,11,1461
1949,12,1456
1950,1,1467
1950,2,1470
1950,3,1709
1950,4,1649
1950,5,1703
1950,6,1728
1950,7,1745
1950,8,1635
1950,9,1636
1950,10,1544
1950,11,1512
1950,12,1463
1951,1,1558
1951,2,1353
1951,3,1695
1951,4,1718
1951,5,1889
1951,6,1747
1951,7,1763
1951,8,1710
1951,9,1754
1951,10,1664
1951,11,1567
1951,12,1524
1952,1,1562
1952,2,1550
1952,3,1816
1952,4,1824
1952,5,1832
1952,6,1787
1952,7,1875
1952,8,1835
1952,9,1775
1952,10,1760
1952,11,1618
1952,12,1543
1953,1,1563
1953,2,1515
1953,3,1824
1953,4,1816
1953,5,1920
1953,6,1836
1953,7,1929
1953,8,1953
1953,9,1805
1953,10,1738
1953,11,1642
1953,12,1701
1954,1,1743
1954,2,1721
1954,3,1962
1954,4,1904
1954,5,1874
1954,6,1915
1954,7,2006
1954,8,1796
1954,9,1924
1954,10,1876
1954,11,1717
1954,12,1810
1955,1,1813
1955,2,1648
1955,3,1951
1955,4,1879
1955,5,2008
1955,6,1930
1955,7,1998
1955,8,1895
1955,9,1908
1955,10,1803
1955,11,1792
1955,12,1772
1956,1,1767
1956,2,1691
1956,3,1920
1956,4,1779
1956,5,1929
1956,6,1955
1956,7,1963
1956,8,1982
1956,9,1845
1956,10,1812
1956,11,1618
1956,12,1684
1957,1,1736
1957,2,1657
1957,3,1885
1957,4,1933
1957,5,1993
1957,6,1982
1957,7,2092
1957,8,1826
1957,9,1866
1957,10,1847
1957,11,1757
1957,12,1788
1958,1,1699
1958,2,1683
1958,3,1938
1958,4,1805
1958,5,1949
1958,6,1862
1958,7,1825
1958,8,1751
1958,9,1891
1958,10,1822
1958,11,1747
1958,12,1725
1959,1,1872
1959,2,1716
1959,3,1966
1959,4,1857
1959,5,2053
1959,6,1945
1959,7,2022
1959,8,1872
1959,9,2008
1959,10,1955
1959,11,1799
1959,12,1736
1960,1,1767
1960,2,1708
1960,3,2010
1960,4,2075
1960,5,2146
1960,6,1922
1960,7,2080
1960,8,2082
1960,9,2006
1960,10,1859
1960,11,1765
1960,12,1817
1961,1,1836
1961,2,1721
1961,3,1991
1961,4,1985
1961,5,2048
1961,6,1985
1961,7,2109
1961,8,1985
1961,9,1954
1961,10,1917
1961,11,1839
1961,12,1918
1962,1,1808
1962,2,1664
1962,3,1986
1962,4,2003
1962,5,2040
1962,6,1984
1962,7,2013
1962,8,1994
1962,9,2004
1962,10,1864
1962,11,1794
1962,12,1764
1963,1,1879
1963,2,1768
1963,3,2023
1963,4,1929
1963,5,1976
1963,6,2025
1963,7,2004
1963,8,1949
1963,9,1976
1963,10,1866
1963,11,1688
1963,12,1668
1964,1,1779
1964,2,1729
1964,3,1875
1964,4,1795
1964,5,1885
1964,6,1958
1964,7,1985
1964,8,1772
1964,9,1951
1964,10,1689
1964,11,1638
1964,12,1698
1965,1,1682
1965,2,1534
1965,3,1806
1965,4,1744
1965,5,1805
1965,6,1735
1965,7,1751
1965,8,1722
1965,9,1669
1965,10,1589
1965,11,1483
1965,12,1456
