# Births in London; England; 1944-94,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,
# The first publication that made use of this data file was: D. J. D. Earn; P. Rohani; B. M. Bolker; B. T. Grenfell (2000) 'A simple model for complex dynamical transitions in epidemics' Science 287(5453): 667-670,
# See the IIDDA website for a list of all papers that have used this data file.,
year,births
1944,120310
1945,115786
1946,158005
1947,165925
1948,140063
1949,129830
1950,121913
1951,118697
1952,116834
1953,116413
1954,114912
1955,113007
1956,117334
1957,119065
1958,123057
1959,124511
1960,130884
1961,135780
1962,140644
1963,144047
1964,146859
1965,142776
1966,140904
1967,134337
1968,127393
1969,120832
1970,115953
1971,113068
1972,103526
1973,95033
1974,90512
1975,85877
1976,83233
1977,82519
1978,86548
1979,91230
1980,94044
1981,92446
1982,91379
1983,91567
1984,93159
1985,96494
1986,97669
1987,100525
1988,103380
1989,102467
1990,105702
1991,105813
1992,106273
1993,106273
1994,106273
