# Births in Liverpool; England; 1944-94,
# From: Bryan T. Grenfell <bryan@zoo.cam.ac.uk>,
# Date: Wed 11 Nov 1998 17:27:38 +0000 (GMT),
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,
# The first publication that made use of this data file was: D. J. D. Earn; P. Rohani; B. M. Bolker; B. T. Grenfell (2000) 'A simple model for complex dynamical transitions in epidemics' Science 287(5453): 667-670,
# See the IIDDA website for a list of all papers that have used this data file.,
year,births
1944,15623
1945,14709
1946,18672
1947,19684
1948,17677
1949,16520
1950,16265
1951,15542
1952,15840
1953,16166
1954,15720
1955,15309
1956,16006
1957,16006
1958,15673
1959,15534
1960,16035
1961,16696
1962,16311
1963,15680
1964,15640
1965,14495
1966,13455
1967,12583
1968,11848
1969,11268
1970,10673
1971,9551
1972,8514
1973,7411
1974,6871
1975,6594
1976,6364
1977,6120
1978,6308
1979,6952
1980,6825
1981,6983
1982,6764
1983,6942
1984,7053
1985,7254
1986,7226
1987,7207
1988,7188
1989,6974
1990,7272
1991,6957
1992,6528
1993,6528
1994,6528
