# Birth rate in New York state; 1925-63,
# Births per 1000 individuals,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,
# The first publication that made use of this data file was: D. J. D. Earn; P. Rohani; B. M. Bolker; B. T. Grenfell (2000) 'A simple model for complex dynamical transitions in epidemics' Science 287(5453): 667-670,
# See the IIDDA website for a list of all papers that have used this data file.,
year,birthrate
1925,19.9
1926,18.9
1927,19
1928,18.3
1929,17.5
1930,17.1
1931,16.2
1932,15.6
1933,14.6
1934,14.4
1935,13.9
1936,14.1
1937,14.3
1938,14.6
1939,13.9
1940,14.6
1941,15.9
1942,19
1943,19.8
1944,18.4
1945,19.2
1946,20.8
1947,23.1
1948,21
1949,20.4
1950,20.4
1951,21.3
1952,21.5
1953,21.6
1954,21.3
1955,21.7
1956,22
1957,22.3
1958,21.7
1959,22
1960,21.4
1961,21.3
1962,20.4
1963,20.1
