# Weekly Chicken Pox Data for British Columbia Canada; 1924 to 1958,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
# Data extracted from Statistics Canada -  Health Statistics Division archives,,,
# Access to government databases provided by: Richard Trudeau (Health Statistics Division Chief); and Glen Gagnon (Reference Librarian); both at Statistics Canada,,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
year,month,day,cases
1933,1,7,67
1933,1,14,27
1933,1,21,34
1933,1,28,66
1933,2,4,36
1933,2,11,35
1933,2,18,57
1933,2,25,53
1933,3,4,86
1933,3,11,66
1933,3,18,62
1933,3,25,82
1933,4,1,59
1933,4,8,63
1933,4,15,99
1933,4,22,30
1933,4,29,141
1933,5,6,77
1933,5,13,78
1933,5,20,56
1933,5,27,48
1933,6,3,62
1933,6,10,60
1933,6,17,92
1933,6,24,72
1933,7,1,97
1933,7,8,45
1933,7,15,57
1933,7,22,38
1933,7,29,35
1933,8,5,20
1933,8,12,16
1933,8,19,11
1933,8,26,10
1933,9,2,11
1933,9,9,7
1933,9,16,11
1933,9,23,13
1933,9,30,8
1933,10,7,19
1933,10,14,27
1933,10,21,51
1933,10,28,41
1933,11,4,52
1933,11,11,29
1933,11,18,139
1933,11,25,78
1933,12,2,74
1933,12,9,85
1933,12,16,18
1933,12,23,57
1933,12,30,41
1934,1,6,30
1934,1,13,105
1934,1,20,37
1934,1,27,36
1934,2,3,23
1934,2,10,46
1934,2,17,23
1934,2,24,53
1934,3,3,40
1934,3,10,50
1934,3,17,35
1934,3,24,32
1934,3,31,29
1934,4,7,14
1934,4,14,59
1934,4,21,39
1934,4,28,47
1934,5,5,37
1934,5,12,20
1934,5,19,47
1934,5,26,33
1934,6,2,31
1934,6,9,29
1934,6,16,41
