# Weekly Chicken Pox Data in Ontario Canada; 1924 to 1958; 1826 weeks total,,,
# Data extracted from Statistics Canada -  Health Statistics Division archives - except Ontario data: 1939-58; which were obtained from the Ontario Ministry of Health (Toronto). These data were reported to Statistics Canada.,,,
# Access to government databases provided by: Richard Trudeau (Health Statistics Division Chief); and Glen Gagnon (Reference Librarian); both at Statistics Canada; and Angie Fazzone (Data clerk); at the Ontario Ministry of Health.,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
year,month,day,cases
1924,1,5,
1924,1,12,
1924,1,19,
1924,1,26,
1924,2,2,
1924,2,9,
1924,2,16,
1924,2,23,
1924,3,1,
1924,3,8,
1924,3,15,
1924,3,22,
1924,3,29,
1924,4,5,
1924,4,12,
1924,4,19,
1924,4,26,
1924,5,3,
1924,5,10,
1924,5,17,
1924,5,24,
1924,5,31,
1924,6,7,
1924,6,14,
1924,6,21,
1924,6,28,
1924,7,5,56
1924,7,12,47
1924,7,19,30
1924,7,26,46
1924,8,2,52
1924,8,9,24
1924,8,16,24
1924,8,23,21
1924,8,30,17
1924,9,6,36
1924,9,13,16
1924,9,20,19
1924,9,27,25
1924,10,4,43
1924,10,11,91
1924,10,18,123
1924,10,25,123
1924,11,1,115
1924,11,8,90
1924,11,15,442
1924,11,22,209
1924,11,29,245
1924,12,6,275
1924,12,13,282
1924,12,20,190
1924,12,27,109
1925,1,3,157
1925,1,10,247
1925,1,17,171
1925,1,24,230
1925,1,31,122
1925,2,7,159
1925,2,14,105
1925,2,21,159
1925,2,28,111
1925,3,7,130
1925,3,14,95
1925,3,21,92
1925,3,28,62
1925,4,4,53
1925,4,11,57
1925,4,18,33
1925,4,25,62
1925,5,2,53
1925,5,9,51
1925,5,16,88
1925,5,23,52
1925,5,30,119
1925,6,6,116
1925,6,13,140
1925,6,20,159
1925,6,27,42
1925,7,4,95
1925,7,11,89
1925,7,18,89
1925,7,25,57
1925,8,1,53
1925,8,8,23
1925,8,15,29
1925,8,22,7
1925,8,29,21
1925,9,5,28
1925,9,12,19
1925,9,19,10
1925,9,26,31
1925,10,3,38
1925,10,10,62
1925,10,17,52
1925,10,24,26
1925,10,31,282
1925,11,7,40
1925,11,14,172
1925,11,21,337
1925,11,28,310
1925,12,5,101
1925,12,12,306
1925,12,19,70
1925,12,26,120
1926,1,2,117
1926,1,9,98
1926,1,16,239
1926,1,23,267
1926,1,30,289
1926,2,6,153
1926,2,13,142
1926,2,20,158
1926,2,27,332
1926,3,6,63
1926,3,13,172
1926,3,20,173
1926,3,27,232
1926,4,3,87
1926,4,10,52
1926,4,17,140
1926,4,24,116
1926,5,1,72
1926,5,8,119
1926,5,15,48
1926,5,22,82
1926,5,29,92
1926,6,5,106
1926,6,12,167
1926,6,19,115
1926,6,26,66
1926,7,3,167
1926,7,10,109
1926,7,17,75
1926,7,24,70
1926,7,31,82
1926,8,7,58
1926,8,14,39
1926,8,21,16
1926,8,28,23
1926,9,4,4
1926,9,11,25
1926,9,18,24
1926,9,25,70
1926,10,2,37
1926,10,9,53
1926,10,16,119
1926,10,23,137
1926,10,30,198
1926,11,6,228
1926,11,13,281
1926,11,20,364
1926,11,27,654
1926,12,4,227
1926,12,11,453
1926,12,18,300
1926,12,25,267
1927,1,1,142
1927,1,8,169
1927,1,15,286
1927,1,22,285
1927,1,29,391
1927,2,5,167
1927,2,12,108
1927,2,19,180
1927,2,26,186
1927,3,5,170
1927,3,12,139
1927,3,19,124
1927,3,26,135
1927,4,2,135
1927,4,9,68
1927,4,16,136
1927,4,23,140
1927,4,30,144
1927,5,7,178
1927,5,14,110
1927,5,21,195
1927,5,28,136
1927,6,4,192
1927,6,11,197
1927,6,18,271
1927,6,25,191
1927,7,2,90
1927,7,9,176
1927,7,16,90
1927,7,23,113
1927,7,30,81
1927,8,6,64
1927,8,13,35
1927,8,20,41
1927,8,27,29
1927,9,3,25
1927,9,10,43
1927,9,17,51
1927,9,24,31
1927,10,1,43
1927,10,8,103
1927,10,15,91
1927,10,22,136
1927,10,29,198
1927,11,5,227
1927,11,12,215
1927,11,19,315
1927,11,26,323
1927,12,3,314
1927,12,10,302
1927,12,17,283
1927,12,24,232
1927,12,31,175
1928,1,7,258
1928,1,14,252
1928,1,21,263
1928,1,28,368
1928,2,4,222
1928,2,11,197
1928,2,18,175
1928,2,25,345
1928,3,3,278
1928,3,10,174
1928,3,17,195
1928,3,24,244
1928,3,31,135
1928,4,7,164
1928,4,14,97
1928,4,21,150
1928,4,28,130
1928,5,5,99
1928,5,12,135
1928,5,19,108
1928,5,26,205
1928,6,2,149
1928,6,9,249
1928,6,16,161
1928,6,23,279
1928,6,30,205
1928,7,7,125
1928,7,14,143
1928,7,21,56
1928,7,28,74
1928,8,4,50
1928,8,11,25
1928,8,18,52
1928,8,25,15
1928,9,1,23
1928,9,8,14
1928,9,15,19
1928,9,22,21
1928,9,29,51
1928,10,6,58
1928,10,13,100
1928,10,20,113
1928,10,27,140
1928,11,3,209
1928,11,10,171
1928,11,17,235
1928,11,24,195
1928,12,1,573
1928,12,8,362
1928,12,15,289
1928,12,22,170
1928,12,29,98
1929,1,5,168
1929,1,12,237
1929,1,19,210
1929,1,26,158
1929,2,2,131
1929,2,9,162
1929,2,16,133
1929,2,23,137
1929,3,2,110
1929,3,9,161
1929,3,16,175
1929,3,23,219
1929,3,30,110
1929,4,6,125
1929,4,13,151
1929,4,20,145
1929,4,27,172
1929,5,4,142
1929,5,11,124
1929,5,18,196
1929,5,25,114
1929,6,1,161
1929,6,8,261
1929,6,15,245
1929,6,22,456
1929,6,29,243
1929,7,6,220
1929,7,13,101
1929,7,20,118
1929,7,27,108
1929,8,3,90
1929,8,10,42
1929,8,17,31
1929,8,24,38
1929,8,31,27
1929,9,7,39
1929,9,14,61
1929,9,21,58
1929,9,28,38
1929,10,5,44
1929,10,12,123
1929,10,19,153
1929,10,26,267
1929,11,2,296
1929,11,9,326
1929,11,16,458
1929,11,23,467
1929,11,30,518
1929,12,7,511
1929,12,14,378
1929,12,21,406
1929,12,28,255
1930,1,4,268
1930,1,11,307
1930,1,18,340
1930,1,25,268
1930,2,1,152
1930,2,8,154
1930,2,15,266
1930,2,22,223
1930,3,1,213
1930,3,8,322
1930,3,15,242
1930,3,22,211
1930,3,29,201
1930,4,5,323
1930,4,12,181
1930,4,19,180
1930,4,26,152
1930,5,3,142
1930,5,10,202
1930,5,17,144
1930,5,24,189
1930,5,31,144
1930,6,7,264
1930,6,14,180
1930,6,21,231
1930,6,28,161
1930,7,5,276
1930,7,12,89
1930,7,19,121
1930,7,26,70
1930,8,2,31
1930,8,9,93
1930,8,16,55
1930,8,23,29
1930,8,30,10
1930,9,6,27
1930,9,13,22
1930,9,20,27
1930,9,27,26
1930,10,4,38
1930,10,11,85
1930,10,18,90
1930,10,25,167
1930,11,1,161
1930,11,8,163
1930,11,15,212
1930,11,22,350
1930,11,29,479
1930,12,6,384
1930,12,13,343
1930,12,20,339
1930,12,27,130
1931,1,3,238
1931,1,10,483
1931,1,17,232
1931,1,24,604
1931,1,31,270
1931,2,7,155
1931,2,14,343
1931,2,21,261
1931,2,28,269
1931,3,7,230
1931,3,14,307
1931,3,21,172
1931,3,28,263
1931,4,4,151
1931,4,11,213
1931,4,18,33
1931,4,25,299
1931,5,2,261
1931,5,9,224
1931,5,16,146
1931,5,23,249
1931,5,30,201
1931,6,6,208
1931,6,13,284
1931,6,20,158
1931,6,27,162
1931,7,4,122
1931,7,11,84
1931,7,18,85
1931,7,25,37
1931,8,1,56
1931,8,8,59
1931,8,15,30
1931,8,22,15
1931,8,29,13
1931,9,5,13
1931,9,12,33
1931,9,19,38
1931,9,26,42
1931,10,3,33
1931,10,10,77
1931,10,17,58
1931,10,24,72
1931,10,31,84
1931,11,7,108
1931,11,14,114
1931,11,21,282
1931,11,28,204
1931,12,5,313
1931,12,12,170
1931,12,19,235
1931,12,26,180
1932,1,2,199
1932,1,9,245
1932,1,16,309
1932,1,23,245
1932,1,30,196
1932,2,6,231
1932,2,13,257
1932,2,20,201
1932,2,27,205
1932,3,5,275
1932,3,12,241
1932,3,19,166
1932,3,26,112
1932,4,2,96
1932,4,9,181
1932,4,16,93
1932,4,23,107
1932,4,30,127
1932,5,7,126
1932,5,14,152
1932,5,21,165
1932,5,28,170
1932,6,4,260
1932,6,11,218
1932,6,18,293
1932,6,25,199
1932,7,2,183
1932,7,9,69
1932,7,16,100
1932,7,23,83
1932,7,30,45
1932,8,6,29
1932,8,13,30
1932,8,20,52
1932,8,27,58
1932,9,3,30
1932,9,10,36
1932,9,17,10
1932,9,24,26
1932,10,1,76
1932,10,8,72
1932,10,15,118
1932,10,22,198
1932,10,29,238
1932,11,5,251
1932,11,12,272
1932,11,19,328
1932,11,26,289
1932,12,3,331
1932,12,10,370
1932,12,17,334
1932,12,24,261
1932,12,31,210
1933,1,7,248
1933,1,14,434
1933,1,21,320
1933,1,28,282
1933,2,4,239
1933,2,11,274
1933,2,18,350
1933,2,25,395
1933,3,4,280
1933,3,11,335
1933,3,18,222
1933,3,25,389
1933,4,1,273
1933,4,8,237
1933,4,15,287
1933,4,22,190
1933,4,29,309
1933,5,6,196
1933,5,13,237
1933,5,20,183
1933,5,27,241
1933,6,3,255
1933,6,10,290
1933,6,17,249
1933,6,24,298
1933,7,1,243
1933,7,8,192
1933,7,15,121
1933,7,22,93
1933,7,29,79
1933,8,5,52
1933,8,12,28
1933,8,19,26
1933,8,26,27
1933,9,2,22
1933,9,9,36
1933,9,16,27
1933,9,23,29
1933,9,30,51
1933,10,7,57
1933,10,14,46
1933,10,21,97
1933,10,28,109
1933,11,4,143
1933,11,11,180
1933,11,18,320
1933,11,25,265
1933,12,2,285
1933,12,9,270
1933,12,16,221
1933,12,23,174
1933,12,30,209
1934,1,6,254
1934,1,13,315
1934,1,20,294
1934,1,27,321
1934,2,3,268
1934,2,10,220
1934,2,17,216
1934,2,24,228
1934,3,3,217
1934,3,10,159
1934,3,17,291
1934,3,24,261
1934,3,31,155
1934,4,7,124
1934,4,14,233
1934,4,21,224
1934,4,28,126
1934,5,5,165
1934,5,12,156
1934,5,19,176
1934,5,26,148
1934,6,2,147
1934,6,9,316
1934,6,16,253
1934,6,23,216
1934,6,30,261
1934,7,7,167
1934,7,14,163
1934,7,21,118
1934,7,28,90
1934,8,4,75
1934,8,11,46
1934,8,18,28
1934,8,25,28
1934,9,1,20
1934,9,8,32
1934,9,15,60
1934,9,22,60
1934,9,29,149
1934,10,6,102
1934,10,13,128
1934,10,20,159
1934,10,27,181
1934,11,3,345
1934,11,10,174
1934,11,17,479
1934,11,24,478
1934,12,1,438
1934,12,8,480
1934,12,15,475
1934,12,22,287
1934,12,29,323
1935,1,5,171
1935,1,12,426
1935,1,19,332
1935,1,26,303
1935,2,2,405
1935,2,9,339
1935,2,16,430
1935,2,23,264
1935,3,2,254
1935,3,9,263
1935,3,16,239
1935,3,23,211
1935,3,30,253
1935,4,6,183
1935,4,13,196
1935,4,20,211
1935,4,27,166
1935,5,4,158
1935,5,11,224
1935,5,18,193
1935,5,25,216
1935,6,1,352
1935,6,8,249
1935,6,15,276
1935,6,22,334
1935,6,29,259
1935,7,6,265
1935,7,13,126
1935,7,20,243
1935,7,27,230
1935,8,3,99
1935,8,10,33
1935,8,17,32
1935,8,24,33
1935,8,31,36
1935,9,7,8
1935,9,14,29
1935,9,21,45
1935,9,28,54
1935,10,5,104
1935,10,12,176
1935,10,19,201
1935,10,26,367
1935,11,2,434
1935,11,9,478
1935,11,16,533
1935,11,23,550
1935,11,30,470
1935,12,7,544
1935,12,14,506
1935,12,21,389
1935,12,28,224
1936,1,4,325
1936,1,11,428
1936,1,18,551
1936,1,25,384
1936,2,1,257
1936,2,8,217
1936,2,15,337
1936,2,22,210
1936,2,29,183
1936,3,7,360
1936,3,14,214
1936,3,21,246
1936,3,28,218
1936,4,4,190
1936,4,11,192
1936,4,18,128
1936,4,25,291
1936,5,2,145
1936,5,9,136
1936,5,16,198
1936,5,23,174
1936,5,30,250
1936,6,6,172
1936,6,13,227
1936,6,20,194
1936,6,27,148
1936,7,4,189
1936,7,11,72
1936,7,18,120
1936,7,25,91
1936,8,1,33
1936,8,8,52
1936,8,15,31
1936,8,22,40
1936,8,29,35
1936,9,5,33
1936,9,12,41
1936,9,19,71
1936,9,26,121
1936,10,3,75
1936,10,10,124
1936,10,17,194
1936,10,24,229
1936,10,31,220
1936,11,7,303
1936,11,14,353
1936,11,21,397
1936,11,28,428
1936,12,5,494
1936,12,12,543
1936,12,19,341
1936,12,26,296
1937,1,2,309
1937,1,9,553
1937,1,16,519
1937,1,23,458
1937,1,30,368
1937,2,6,376
1937,2,13,441
1937,2,20,337
1937,2,27,413
1937,3,6,327
1937,3,13,264
1937,3,20,291
1937,3,27,238
1937,4,3,281
1937,4,10,357
1937,4,17,351
1937,4,24,305
1937,5,1,296
1937,5,8,324
1937,5,15,340
1937,5,22,256
1937,5,29,301
1937,6,5,302
1937,6,12,337
1937,6,19,248
1937,6,26,275
1937,7,3,187
1937,7,10,111
1937,7,17,95
1937,7,24,59
1937,7,31,33
1937,8,7,53
1937,8,14,29
1937,8,21,44
1937,8,28,25
1937,9,4,19
1937,9,11,32
1937,9,18,15
1937,9,25,27
1937,10,2,49
1937,10,9,52
1937,10,16,63
1937,10,23,114
1937,10,30,135
1937,11,6,131
1937,11,13,180
1937,11,20,187
1937,11,27,231
1937,12,4,302
1937,12,11,321
1937,12,18,226
1937,12,25,208
1938,1,1,196
1938,1,8,372
1938,1,15,312
1938,1,22,377
1938,1,29,324
1938,2,5,281
1938,2,12,228
1938,2,19,286
1938,2,26,291
1938,3,5,238
1938,3,12,305
1938,3,19,253
1938,3,26,209
1938,4,2,281
1938,4,9,305
1938,4,16,190
1938,4,23,175
1938,4,30,260
1938,5,7,206
1938,5,14,233
1938,5,21,202
1938,5,28,225
1938,6,4,345
1938,6,11,293
1938,6,18,340
1938,6,25,289
1938,7,2,269
1938,7,9,183
1938,7,16,138
1938,7,23,91
1938,7,30,62
1938,8,6,79
1938,8,13,33
1938,8,20,35
1938,8,27,12
1938,9,3,10
1938,9,10,13
1938,9,17,19
1938,9,24,59
1938,10,1,54
1938,10,8,37
1938,10,15,114
1938,10,22,153
1938,10,29,131
1938,11,5,199
1938,11,12,205
1938,11,19,274
1938,11,26,279
1938,12,3,220
1938,12,10,380
1938,12,17,312
1938,12,24,244
1938,12,31,260
1939,1,7,452
1939,1,14,490
1939,1,21,511
1939,1,28,384
1939,2,4,355
1939,2,11,363
1939,2,18,354
1939,2,25,308
1939,3,4,271
1939,3,11,239
1939,3,18,166
1939,3,25,236
1939,4,1,139
1939,4,8,162
1939,4,15,108
1939,4,22,134
1939,4,29,167
1939,5,6,104
1939,5,13,146
1939,5,20,115
1939,5,27,112
1939,6,3,166
1939,6,10,274
1939,6,17,215
1939,6,24,197
1939,7,1,145
1939,7,8,269
1939,7,15,98
1939,7,22,102
1939,7,29,77
1939,8,5,117
1939,8,12,41
1939,8,19,52
1939,8,26,30
1939,9,2,20
1939,9,9,35
1939,9,16,32
1939,9,23,27
1939,9,30,59
1939,10,7,84
1939,10,14,136
1939,10,21,182
1939,10,28,146
1939,11,4,205
1939,11,11,281
1939,11,18,330
1939,11,25,380
1939,12,2,457
1939,12,9,501
1939,12,16,529
1939,12,23,270
1939,12,30,358
1940,1,6,421
1940,1,13,597
1940,1,20,392
1940,1,27,454
1940,2,3,408
1940,2,10,526
1940,2,17,459
1940,2,24,525
1940,3,2,451
1940,3,9,430
1940,3,16,484
1940,3,23,309
1940,3,30,374
1940,4,6,423
1940,4,13,339
1940,4,20,352
1940,4,27,320
1940,5,4,233
1940,5,11,434
1940,5,18,332
1940,5,25,300
1940,6,1,432
1940,6,8,439
1940,6,15,463
1940,6,22,402
1940,6,29,204
1940,7,6,301
1940,7,13,204
1940,7,20,156
1940,7,27,151
1940,8,3,160
1940,8,10,102
1940,8,17,77
1940,8,24,59
1940,8,31,25
1940,9,7,38
1940,9,14,43
1940,9,21,41
1940,9,28,100
1940,10,5,97
1940,10,12,91
1940,10,19,163
1940,10,26,213
1940,11,2,251
1940,11,9,311
1940,11,16,248
1940,11,23,456
1940,11,30,415
1940,12,7,534
1940,12,14,484
1940,12,21,398
1940,12,28,372
1941,1,4,311
1941,1,11,454
1941,1,18,501
1941,1,25,343
1941,2,1,334
1941,2,8,307
1941,2,15,400
1941,2,22,210
1941,3,1,413
1941,3,8,294
1941,3,15,242
1941,3,22,301
1941,3,29,193
1941,4,5,147
1941,4,12,174
1941,4,19,215
1941,4,26,205
1941,5,3,164
1941,5,10,120
1941,5,17,207
1941,5,24,130
1941,5,31,216
1941,6,7,292
1941,6,14,239
1941,6,21,360
1941,6,28,184
1941,7,5,159
1941,7,12,126
1941,7,19,83
1941,7,26,61
1941,8,2,70
1941,8,9,63
1941,8,16,26
1941,8,23,24
1941,8,30,15
1941,9,6,31
1941,9,13,37
1941,9,20,50
1941,9,27,97
1941,10,4,68
1941,10,11,99
1941,10,18,211
1941,10,25,145
1941,11,1,347
1941,11,8,229
1941,11,15,457
1941,11,22,513
1941,11,29,336
1941,12,6,728
1941,12,13,497
1941,12,20,541
1941,12,27,288
1942,1,3,321
1942,1,10,496
1942,1,17,455
1942,1,24,566
1942,1,31,551
1942,2,7,335
1942,2,14,297
