# Weekly Chicken Pox Data for Saskatchewan Canada; 1924 to 1958; 1826 weeks total,,,
# Data extracted from Statistics Canada -  Health Statistics Division archives,,,
# Access to government databases provided by: Richard Trudeau (Health Statistics Division Chief); and Glen Gagnon (Reference Librarian); both at Statistics Canada,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
year,month,day,cases
1924,1,5,5
1924,1,12,5
1924,1,19,10
1924,1,26,73
1924,2,2,16
1924,2,9,13
1924,2,16,8
1924,2,23,3
1924,3,1,49
1924,3,8,8
1924,3,15,9
1924,3,22,18
1924,3,29,20
1924,4,5,13
1924,4,12,28
1924,4,19,41
1924,4,26,15
1924,5,3,14
1924,5,10,20
1924,5,17,17
1924,5,24,6
1924,5,31,61
1924,6,7,19
1924,6,14,10
1924,6,21,31
1924,6,28,31
1924,7,5,37
1924,7,12,28
1924,7,19,11
1924,7,26,85
1924,8,2,3
1924,8,9,
1924,8,16,10
1924,8,23,9
1924,8,30,14
1924,9,6,7
1924,9,13,
1924,9,20,11
1924,9,27,5
1924,10,4,11
1924,10,11,30
1924,10,18,12
1924,10,25,64
1924,11,1,29
1924,11,8,19
1924,11,15,36
1924,11,22,24
1924,11,29,20
1924,12,6,12
1924,12,13,23
1924,12,20,8
1924,12,27,3
1925,1,3,22
1925,1,10,27
1925,1,17,56
1925,1,24,24
1925,1,31,12
1925,2,7,16
1925,2,14,23
1925,2,21,31
1925,2,28,2
1925,3,7,21
1925,3,14,6
1925,3,21,9
1925,3,28,75
1925,4,4,10
1925,4,11,9
1925,4,18,25
1925,4,25,11
1925,5,2,3
1925,5,9,22
1925,5,16,8
1925,5,23,19
1925,5,30,17
1925,6,6,28
1925,6,13,14
1925,6,20,25
1925,6,27,28
1925,7,4,8
1925,7,11,57
1925,7,18,17
1925,7,25,19
1925,8,1,15
1925,8,8,24
1925,8,15,3
1925,8,22,2
1925,8,29,2
1925,9,5,1
1925,9,12,12
1925,9,19,2
1925,9,26,
1925,10,3,1
1925,10,10,9
1925,10,17,2
1925,10,24,6
1925,10,31,9
1925,11,7,11
1925,11,14,29
1925,11,21,15
1925,11,28,42
1925,12,5,11
1925,12,12,16
1925,12,19,29
1925,12,26,15
