# Monthly measles cases in Ontario Canada; 1904-89,,
# We are missing monthly data for 1913; 1926; 1927; and 1970,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,
#The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,
# See the IIDDA website for a list of all papers that have used this data file.,,
year,month,cases
1904,1,32
1904,2,41
1904,3,39
1904,4,98
1904,5,107
1904,6,41
1904,7,15
1904,8,3
1904,9,12
1904,10,1
1904,11,12
1904,12,125
1905,1,268
1905,2,119
1905,3,154
1905,4,494
1905,5,880
1905,6,420
1905,7,90
1905,8,26
1905,9,32
1905,10,25
1905,11,28
1905,12,40
1906,1,31
1906,2,62
1906,3,115
1906,4,256
1906,5,145
1906,6,206
1906,7,68
1906,8,35
1906,9,41
1906,10,119
1906,11,226
1906,12,147
1907,1,315
1907,2,337
1907,3,327
1907,4,195
1907,5,369
1907,6,376
1907,7,60
1907,8,23
1907,9,14
1907,10,39
1907,11,332
1907,12,336
1908,1,189
1908,2,185
1908,3,80
1908,4,87
1908,5,108
1908,6,38
1908,7,15
1908,8,3
1908,9,18
1908,10,13
1908,11,13
1908,12,43
1909,1,42
1909,2,23
1909,3,19
1909,4,56
1909,5,140
1909,6,88
1909,7,45
1909,8,39
1909,9,59
1909,10,103
1909,11,132
1909,12,129
1910,1,967
1910,2,937
1910,3,570
1910,4,584
1910,5,564
1910,6,794
1910,7,248
1910,8,49
1910,9,45
1910,10,49
1910,11,65
1910,12,339
1911,1,203
1911,2,204
1911,3,369
1911,4,391
1911,5,254
1911,6,116
1911,7,129
1911,8,7
1911,9,17
1911,10,65
1911,11,108
1911,12,112
1912,1,89
1912,2,111
1912,3,300
1912,4,579
1912,5,588
1912,6,287
1912,7,106
1912,8,64
1912,9,80
1912,10,126
1912,11,91
1912,12,213
1913,1,
1913,2,
1913,3,
1913,4,
1913,5,
1913,6,
1913,7,
1913,8,
1913,9,
1913,10,
1913,11,
1913,12,
1914,1,184
1914,2,427
1914,3,682
1914,4,609
1914,5,691
1914,6,859
1914,7,422
1914,8,148
1914,9,107
1914,10,182
1914,11,201
1914,12,372
1915,1,241
1915,2,623
1915,3,972
1915,4,922
1915,5,659
1915,6,559
1915,7,496
1915,8,162
1915,9,105
1915,10,400
1915,11,1113
1915,12,3432
1916,1,3018
1916,2,2793
1916,3,5158
1916,4,3206
1916,5,2980
1916,6,2039
1916,7,1234
1916,8,243
1916,9,94
1916,10,248
1916,11,515
1916,12,449
1917,1,1180
1917,2,1235
1917,3,1700
1917,4,842
1917,5,663
1917,6,488
1917,7,277
1917,8,114
1917,9,104
1917,10,141
1917,11,384
1917,12,667
1918,1,1013
1918,2,861
1918,3,1256
1918,4,1461
1918,5,1935
1918,6,1426
1918,7,748
1918,8,347
1918,9,110
1918,10,188
1918,11,68
1918,12,18
1919,1,5
1919,2,21
1919,3,39
