# Weekly cases of measles in Liverpool England; 1944-94,,,
# This worksheet was created from the original file measles.cases; which apparently has the same information as ewcit.dat,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
# The first publication that made use of this data file was: D. J. D. Earn; P. Rohani; B. M. Bolker; B. T. Grenfell (2000) 'A simple model for complex dynamical transitions in epidemics' Science 287(5453): 667-670,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
year,month,day,cases
1944,1,7,6
1944,1,14,9
1944,1,21,7
1944,1,28,9
1944,2,4,19
1944,2,11,19
1944,2,18,30
1944,2,25,23
1944,3,3,23
1944,3,10,19
1944,3,17,48
1944,3,24,35
1944,3,31,75
1944,4,7,48
1944,4,14,72
1944,4,21,81
1944,4,28,56
1944,5,5,52
1944,5,12,50
1944,5,19,55
1944,5,26,81
1944,6,2,70
1944,6,9,86
1944,6,16,90
1944,6,23,84
1944,6,30,95
1944,7,7,109
1944,7,14,147
1944,7,21,126
1944,7,28,81
1944,8,4,79
1944,8,11,79
1944,8,18,63
1944,8,25,59
1944,9,1,75
1944,9,8,58
1944,9,15,81
1944,9,22,92
1944,9,29,142
1944,10,6,162
1944,10,13,171
1944,10,20,258
1944,10,27,196
1944,11,3,251
1944,11,10,294
1944,11,17,381
1944,11,24,302
1944,12,1,408
1944,12,8,436
1944,12,15,329
1944,12,22,314
1944,12,31,246
1945,1,7,255
1945,1,14,231
1945,1,21,252
1945,1,28,219
1945,2,4,187
1945,2,11,187
1945,2,18,184
1945,2,25,189
1945,3,4,144
1945,3,11,153
1945,3,18,158
1945,3,25,103
1945,4,1,130
1945,4,8,130
1945,4,15,97
1945,4,22,123
1945,4,29,116
1945,5,6,99
1945,5,13,88
1945,5,20,95
1945,5,27,83
1945,6,3,72
1945,6,10,74
1945,6,17,50
1945,6,24,43
1945,7,1,49
1945,7,8,48
1945,7,15,33
1945,7,22,33
1945,7,29,25
1945,8,5,7
1945,8,12,16
1945,8,19,9
1945,8,26,20
1945,9,2,55
1945,9,9,13
1945,9,16,10
1945,9,23,24
1945,9,30,10
1945,10,7,33
1945,10,14,17
1945,10,21,25
