# Vaccinations in England; for Measles 1974-86,,,,,,,,,,,,,,,,
# Source: Immunisation table 5e: Regional health authorities  1976-1988/89,,,,,,,,,,,,,,,,
# Provided by Ben Bolker <ben@eno.Princeton.EDU>,,,,,,,,,,,,,,,,
# Completed primary courses - two-year uptake rate,,,,,,,,,,,,,,,,
# Percentage of children immunised by the end of second year after birth,,,,,,,,,,,,,,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,,,,,,,,,,,,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,,,,,,,,,,,,,,
# The first publication that made use of this data file was: D. J. D. Earn; P. Rohani; B. M. Bolker; B. T. Grenfell (2000) 'A simple model for complex dynamical transitions in epidemics' Science 287(5453): 667-670,,,,,,,,,,,,,,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,,,,,,,,,,,,,,
born.in,immunized.by,england,northern,yorkshire,trent,east.anglia,nw.thames,ne.thames,se.thames,sw.thames,wessex,oxford,south.western,west.midlands,mersey,north.western
1974,1976,47,47,46,54,59,44,43,37,49,69,75,62,39,32,35
1975,1977,50,49,53,55,61,46,46,39,51,69,74,62,43,35,36
1976,1978,48,51,52,53,62,46,42,39,49,67,70,57,40,37,37
1977,1979,51,53,55,56,65,49,42,44,52,66,67,62,42,40,40
1978,1980,53,55,57,57,68,50,44,46,56,66,69,61,47,45,42
1979,1981,55,58,60,60,69,52,45,50,56,65,68,62,49,49,45
1980,1982,58,60,63,62,72,57,50,55,58,70,68,66,54,52,46
1981,1983,60,63,64,62,72,58,52,58,63,71,71,67,55,54,49
1982,1984,63,68,68,65,73,64,52,60,66,74,74,71,59,57,53
1983,1985,68,72,73,72,77,66,58,66,70,79,78,76,64,62,59
1984,1986,71,75,75,76,77,71,62,66,72,81,78,78,67,66,66
1985,1987,76,77,76,79,80,74,70,70,77,82,82,85,75,72,71
1986,1988,80,84,81,80,86,77,72,80,79,82,85,87,79,79,78
