# Daily mortality in Canada, 1951-1999
# These data were extracted by Junling Ma from the Canadian Mortality Database (CMD) at Statistics Canada in Ottawa in January 2005.  They were released from StatCan premises with the permission of Jean-Marie Berthelot.
# The data are aggregated across the entire country for each day
# Censored data (<3) are replaced by 1
# The data columns are: pop = population of Canada as a whole, acm = all-cause mortality, rcm = mortality from respiratory and circulatory causes and pim = mortality from pneumonia and influenza
# Junling Ma's original file Canada_daily is a space-delimited plain text file.  This spreadsheet was created by Laxmi Pandit in Nov 2007
year,month,day,numdate,pop,acm,rcm,pim
1951,1,1,1951.00274,14009400,378,213,17
1951,1,2,1951.00548,14010631,385,225,29
1951,1,3,1951.00822,14011863,372,208,17
1951,1,4,1951.01096,14013095,366,194,20
1951,1,5,1951.0137,14014327,388,229,30
1951,1,6,1951.01644,14015558,328,170,20
1951,1,7,1951.01918,14016790,385,218,22
1951,1,8,1951.02192,14018022,370,206,22
1951,1,9,1951.02466,14019254,384,198,30
1951,1,10,1951.0274,14020486,360,194,16
1951,1,11,1951.03014,14021717,385,216,25
1951,1,12,1951.03288,14022949,362,185,22
1951,1,13,1951.03562,14024181,357,217,26
1951,1,14,1951.03836,14025413,368,201,22
1951,1,15,1951.0411,14026644,369,209,16
1951,1,16,1951.04384,14027876,363,205,22
1951,1,17,1951.04658,14029108,376,221,25
1951,1,18,1951.04932,14030340,355,207,10
1951,1,19,1951.05205,14031572,369,199,25
1951,1,20,1951.05479,14032803,363,193,35
1951,1,21,1951.05753,14034035,331,188,21
1951,1,22,1951.06027,14035267,361,194,28
1951,1,23,1951.06301,14036499,348,175,15
1951,1,24,1951.06575,14037730,319,175,24
1951,1,25,1951.06849,14038962,350,187,27
1951,1,26,1951.07123,14040194,379,200,21
1951,1,27,1951.07397,14041426,368,208,31
1951,1,28,1951.07671,14042658,336,186,25
1951,1,29,1951.07945,14043889,362,225,33
1951,1,30,1951.08219,14045121,330,200,29
1951,1,31,1951.08493,14046353,343,181,26
1951,2,1,1951.08767,14047585,367,216,27
1951,2,2,1951.09041,14048816,387,208,19
1951,2,3,1951.09315,14050048,385,216,24
1951,2,4,1951.09589,14051280,395,234,32
1951,2,5,1951.09863,14052512,389,225,20
1951,2,6,1951.10137,14053744,390,215,31
1951,2,7,1951.10411,14054975,429,222,31
1951,2,8,1951.10685,14056207,402,213,29
1951,2,9,1951.10959,14057439,369,198,22
1951,2,10,1951.11233,14058671,390,220,32
1951,2,11,1951.11507,14059903,397,210,33
1951,2,12,1951.11781,14061134,434,260,32
1951,2,13,1951.12055,14062366,407,233,36
1951,2,14,1951.12329,14063598,414,226,48
1951,2,15,1951.12603,14064830,395,230,43
1951,2,16,1951.12877,14066061,425,260,46
1951,2,17,1951.13151,14067293,414,253,52
1951,2,18,1951.13425,14068525,459,274,60
1951,2,19,1951.13699,14069757,470,297,64
1951,2,20,1951.13973,14070989,454,297,87
1951,2,21,1951.14247,14072220,442,287,66
1951,2,22,1951.14521,14073452,471,275,61
