# United States annual mortality rates from all causes and from infectious diseases 1900-1996,,,
# The units are deaths per 100000 per year,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
# First publication to use this data: D. J. D. Earn; J. Dushoff and S. A. Levin (2002) 'Ecology and evolution of the flu' Trends in Ecology and Evolution 17(7): 334-340,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
# acm = all cause mortality; non.idm = mortality from causes other than infectious disease; idm = infectious disease mortality,,,
year,acm,non.idm,idm
1900,1719.1,921.6723,797.4278
1901,1641.5,900.9217,740.5783
1902,1548.1,867.23,680.87
1903,1562.8,882.6081,680.1919
1904,1640,916.4391,723.5609
1905,1588.9,904.8173,684.0828
1906,1571.8,901.0279,670.7721
1907,1592.5,917.3482,675.1518
1908,1468.2,854.3882,613.8118
1909,1424.7,841.8791,582.8209
1910,1468,857.5205,610.4795
1911,1390.5,838.0022,552.4978
1912,1359.7,846.1793,513.5207
1913,1380.6,849.6463,530.9537
1914,1330.2,835.0204,495.1796
1915,1317.6,835.0479,482.5521
1916,1381.1,855.6699,525.4301
1917,1397.1,864.1224,532.9776
1918,1810,867.4914,942.5086
1919,1289.4,773.8216,515.5784
1920,1298.9,794.343,504.557
1921,1149.8,782.5335,367.2665
1922,1169.3,797.6233,371.6767
1923,1213,817.7761,395.2239
1924,1159,817.8799,341.1201
1925,1168.1,826.7748,341.3252
1926,1211,849.7267,361.2733
1927,1131.5,829.2426,302.2574
1928,1198.6,857.1228,341.4772
1929,1187.8,850.7956,337.0044
1930,1132.1,793.7036,338.3964
1931,1106.5,780.8272,325.6728
1932,1087.7,780.416,307.284
1933,1068.7,779.4495,289.2503
1934,1105.399,812.2904,293.1091
1935,1094.499,809.7612,284.7382
1936,1155.2,856.3106,298.8891
1937,1125.899,842.9151,282.9843
1938,1064,828.0119,235.9878
1939,1060.4,835.6008,224.7988
1940,1076.4,864.396,212.0039
1941,1049.9,850.6922,199.2075
1942,1034.3,853.7702,180.5294
1943,1087.2,890.054,197.1455
1944,1062.1,876.9349,185.1646
1945,1058.1,892.2713,165.8283
1946,996.4999,854.886,141.6139
1947,1007.599,874.2272,133.3721
1948,988.5997,866.5686,122.0312
1949,970.9999,878.0836,92.91629
1950,963.7999,878.4792,85.32067
1951,966.6995,885.5613,81.13822
1952,961.3995,886.4619,74.93753
1953,958.9995,886.951,72.04851
1954,918.9999,858.5999,60.39997
1955,930.3996,870.8992,59.50045
1956,935.0998,875.3882,59.71155
1957,958.5998,891.9716,66.62812
1958,950.7997,890.7512,60.04847
1959,938.6,881.858,56.742
1960,954.6998,892.5879,62.11188
1961,929.7997,876.1339,53.66573
1962,945.5997,888.0433,57.55635
1963,962.1998,899.7973,62.40244
1964,940.6998,885.4835,55.21631
1965,944.5997,889.5678,55.03188
1966,952.5995,898.1168,54.48266
1967,937.5996,888.4187,49.18083
1968,967.8995,911.5221,56.37741
1969,954.3998,902.2564,52.14341
1970,945.2998,896.7028,48.59705
1971,931.9997,887.7912,44.20844
1972,938.4,892.7634,45.63655
1973,933.4997,888.8563,44.64342
1974,906.6996,866.527,40.17259
1975,878.5,838.5891,39.91089
1976,877.5996,835.1213,42.47827
1977,864.3998,827.3116,37.08819
1978,867.9997,827.7764,40.22333
1979,852.1996,821.2222,30.97739
1980,878.2996,842.4579,35.84176
1981,861.9996,826.6083,35.3913
1982,852.3996,819.2581,33.14153
1983,863.6998,826.722,36.97774
1984,864.7997,825.3353,39.46443
1985,876.8998,831.8081,45.09171
1986,876.7,828.6191,48.08086
1987,876.3997,826.662,49.73771
1988,886.6997,831.9159,54.78386
1989,871.2996,815.7484,55.55123
1990,863.7996,806.5188,57.2808
1991,860.2997,802.6846,57.61509
1992,853.153,795.2633,57.6537
1993,880.103,818.0613,61.9458
1994,875.563,812.6696,62.7421
1995,879.982,816.5804,63.4182
1996,874.205,815.4097,58.7953
