# Monthly all cause mortality; and deaths caused by pnuemonia and influenza in the United States; 1910-98,,,,
# Source:  1910 Table 10 in US Mortality Statistics; 1911-12 Table 8 in US Mortality Statistics; 1913 Table 7 in US Mortality Statistics.,,,,
# 1914-92 Table 10 in US Mortality Statistics; 1993-98 all data were extracted from electronic files obtained from the CDC.,,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,,
# First publication to use this data: D. J. D. Earn; J. Dushoff and S. A. Levin (2002) 'Ecology and evolution of the flu' Trends in Ecology and Evolution 17(7): 334-340,,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,,
# acm = all cause mortality; pim = pneumonia and influenza mortality,,,,
numeric.date,year,month,acm,pim
1910,1910,1,70765,11426
1910.083,1910,2,65957,10526
1910.167,1910,3,76237,12814
1910.25,1910,4,67931,9526
1910.333,1910,5,64487,7275
1910.417,1910,6,60827,4465
1910.5,1910,7,69983,2866
1910.583,1910,8,69999,2566
1910.667,1910,9,63762,3087
1910.75,1910,10,62521,4544
1910.833,1910,11,62900,7250
1910.917,1910,12,70043,10953
1911,1911,1,79777,14433
1911.083,1911,2,72831,12805
1911.167,1911,3,81028,13336
1911.25,1911,4,74854,10480
1911.333,1911,5,70046,6976
1911.417,1911,6,60811,3147
1911.5,1911,7,73979,2638
1911.583,1911,8,67454,2495
1911.667,1911,9,62778,2804
1911.75,1911,10,63983,4288
1911.833,1911,11,64051,6550
1911.917,1911,12,67692,8575
1912,1912,1,77586,11984
1912.083,1912,2,74512,11862
1912.167,1912,3,79488,12172
1912.25,1912,4,72379,9050
1912.333,1912,5,68491,6435
1912.417,1912,6,60520,3937
1912.5,1912,7,66690,2738
1912.583,1912,8,67555,2702
1912.667,1912,9,64934,2902
1912.75,1912,10,66770,5031
1912.833,1912,11,64423,6354
1912.917,1912,12,74903,10987
1913,1913,1,82034,14186
1913.083,1913,2,78194,13444
1913.167,1913,3,85372,13865
1913.25,1913,4,75140,9121
1913.333,1913,5,74799,7361
1913.417,1913,6,70497,4714
1913.5,1913,7,74033,3031
1913.583,1913,8,74522,2743
1913.667,1913,9,69519,3200
1913.75,1913,10,68092,4618
1913.833,1913,11,66868,6594
1913.917,1913,12,71778,8626
1914,1914,1,82700,12554
1914.083,1914,2,77744,11904
1914.167,1914,3,89870,14496
1914.25,1914,4,81172,11153
1914.333,1914,5,76483,7622
1914.417,1914,6,67044,3913
1914.5,1914,7,70044,2702
1914.583,1914,8,71621,2528
1914.667,1914,9,68258,2996
1914.75,1914,10,68358,4269
1914.833,1914,11,69496,6440
1914.917,1914,12,75269,9241
1915,1915,1,79662,11532
1915.083,1915,2,76452,11974
1915.167,1915,3,91515,16452
1915.25,1915,4,85445,14179
1915.333,1915,5,72636,6513
1915.417,1915,6,66479,4319
1915.5,1915,7,69776,2912
1915.583,1915,8,69735,2486
1915.667,1915,9,69588,3097
