# Interpolated population size of New York city; 1900-60,
# Interpolated from known decade population sizes (see pop_us_ny_1900-60_dc.csv),
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,
# The first publication that made use of this data file was: D. J. D. Earn; P. Rohani; B. M. Bolker; B. T. Grenfell (2000) 'A simple model for complex dynamical transitions in epidemics' Science 287(5453): 667-670,
# See the IIDDA website for a list of all papers that have used this data file.,
year,population
1900,3437202
1901,3570170.1
1902,3703138.2
1903,3836106.3
1904,3969074.4
1905,4102042.5
1906,4235010.6
1907,4367978.7
1908,4500946.8
1909,4633914.9
1910,4766883
1911,4852199.5
1912,4937516
1913,5022832.5
1914,5108149
1915,5193465.5
1916,5278782
1917,5364098.5
1918,5449415
1919,5534731.5
1920,5620048
1921,5751087.8
1922,5882127.6
1923,6013167.4
1924,6144207.2
1925,6275247
1926,6406286.8
1927,6537326.6
1928,6668366.4
1929,6799406.2
1930,6930446
1931,6982900.9
1932,7035355.8
1933,7087810.7
1934,7140265.6
1935,7192720.5
1936,7245175.4
1937,7297630.3
1938,7350085.2
1939,7402540.1
1940,7454995
1941,7498691.2
1942,7542387.4
1943,7586083.6
1944,7629779.8
1945,7673476
1946,7717172.2
1947,7760868.4
1948,7804564.6
1949,7848260.8
1950,7891957
1951,7880959.7
1952,7869962.4
1953,7858965.1
1954,7847967.8
1955,7836970.5
1956,7825973.2
1957,7814975.9
1958,7803978.6
1959,7792981.3
1960,7781984
