# Weekly rubella cases in Ontario Canada; 1924-89,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
year,month,day,cases
1924,1,5,
1924,1,12,
1924,1,19,
1924,1,26,
1924,2,2,
1924,2,9,
1924,2,16,
1924,2,23,
1924,3,1,
1924,3,8,
1924,3,15,
1924,3,22,
1924,3,29,
1924,4,5,
1924,4,12,
1924,4,19,
1924,4,26,
1924,5,3,
1924,5,10,
1924,5,17,
1924,5,24,
1924,5,31,
1924,6,7,
1924,6,14,
1924,6,21,
1924,6,28,
1924,7,5,5
1924,7,12,13
1924,7,19,6
1924,7,26,4
1924,8,2,3
1924,8,9,
1924,8,16,
1924,8,23,2
1924,8,30,4
1924,9,6,
1924,9,13,
1924,9,20,6
1924,9,27,
1924,10,4,
1924,10,11,1
1924,10,18,
1924,10,25,5
1924,11,1,
1924,11,8,20
1924,11,15,7
1924,11,22,9
1924,11,29,5
1924,12,6,1
1924,12,13,
1924,12,20,6
1924,12,27,3
1925,1,3,5
1925,1,10,8
1925,1,17,3
1925,1,24,4
1925,1,31,5
1925,2,7,11
1925,2,14,6
1925,2,21,1
1925,2,28,1
1925,3,7,14
1925,3,14,13
1925,3,21,2
1925,3,28,3
1925,4,4,6
1925,4,11,3
1925,4,18,2
1925,4,25,7
1925,5,2,6
1925,5,9,3
1925,5,16,1
1925,5,23,
1925,5,30,11
1925,6,6,7
1925,6,13,10
1925,6,20,1
1925,6,27,5
1925,7,4,4
1925,7,11,2
1925,7,18,1
1925,7,25,4
1925,8,1,1
1925,8,8,
1925,8,15,2
1925,8,22,
1925,8,29,1
1925,9,5,
1925,9,12,1
1925,9,19,
1925,9,26,1
1925,10,3,
1925,10,10,3
1925,10,17,
1925,10,24,1
1925,10,31,2
1925,11,7,
1925,11,14,2
1925,11,21,2
1925,11,28,1
1925,12,5,11
1925,12,12,1
1925,12,19,5
1925,12,26,12
1926,1,2,1
1926,1,9,
1926,1,16,21
1926,1,23,13
1926,1,30,28
1926,2,6,32
1926,2,13,176
1926,2,20,9
1926,2,27,294
1926,3,6,
1926,3,13,15
1926,3,20,515
1926,3,27,413
1926,4,3,8
1926,4,10,101
1926,4,17,92
1926,4,24,160
1926,5,1,232
1926,5,8,116
1926,5,15,147
1926,5,22,93
1926,5,29,102
1926,6,5,164
1926,6,12,163
1926,6,19,67
1926,6,26,39
1926,7,3,56
1926,7,10,25
1926,7,17,30
1926,7,24,11
1926,7,31,28
1926,8,7,8
1926,8,14,12
1926,8,21,2
1926,8,28,2
1926,9,4,1
1926,9,11,3
1926,9,18,2
1926,9,25,1
1926,10,2,1
1926,10,9,2
1926,10,16,3
1926,10,23,
1926,10,30,1
1926,11,6,
1926,11,13,4
1926,11,20,9
1926,11,27,6
1926,12,4,
1926,12,11,8
1926,12,18,8
1926,12,25,3
1927,1,1,1
1927,1,8,1
1927,1,15,
1927,1,22,27
1927,1,29,120
1927,2,5,51
1927,2,12,102
1927,2,19,180
1927,2,26,274
1927,3,5,170
1927,3,12,241
1927,3,19,118
1927,3,26,353
1927,4,2,176
1927,4,9,57
1927,4,16,204
1927,4,23,197
1927,4,30,280
1927,5,7,289
1927,5,14,158
1927,5,21,278
1927,5,28,129
1927,6,4,179
1927,6,11,179
1927,6,18,114
1927,6,25,134
1927,7,2,36
1927,7,9,42
1927,7,16,11
1927,7,23,18
1927,7,30,19
1927,8,6,12
1927,8,13,5
1927,8,20,4
1927,8,27,
1927,9,3,4
1927,9,10,3
1927,9,17,2
1927,9,24,1
1927,10,1,5
1927,10,8,2
1927,10,15,2
1927,10,22,3
1927,10,29,1
1927,11,5,6
1927,11,12,3
1927,11,19,3
1927,11,26,2
1927,12,3,2
1927,12,10,10
1927,12,17,1
1927,12,24,1
1927,12,31,2
1928,1,7,7
1928,1,14,9
1928,1,21,2
1928,1,28,15
1928,2,4,8
1928,2,11,8
1928,2,18,16
1928,2,25,9
1928,3,3,7
1928,3,10,12
1928,3,17,9
1928,3,24,11
1928,3,31,3
1928,4,7,6
1928,4,14,3
1928,4,21,18
1928,4,28,5
1928,5,5,3
1928,5,12,6
1928,5,19,6
1928,5,26,7
1928,6,2,3
1928,6,9,3
1928,6,16,4
1928,6,23,2
1928,6,30,3
1928,7,7,
1928,7,14,3
1928,7,21,1
1928,7,28,
1928,8,4,
1928,8,11,
1928,8,18,
1928,8,25,
1928,9,1,
1928,9,8,
1928,9,15,1
1928,9,22,1
1928,9,29,1
1928,10,6,3
1928,10,13,2
1928,10,20,2
1928,10,27,1
1928,11,3,3
1928,11,10,3
1928,11,17,4
1928,11,24,5
1928,12,1,8
1928,12,8,5
1928,12,15,12
1928,12,22,1
1928,12,29,1
1929,1,5,
1929,1,12,3
1929,1,19,7
1929,1,26,9
1929,2,2,7
1929,2,9,9
1929,2,16,9
1929,2,23,1
1929,3,2,7
1929,3,9,3
1929,3,16,6
1929,3,23,4
1929,3,30,2
1929,4,6,2
1929,4,13,4
1929,4,20,4
1929,4,27,8
1929,5,4,8
1929,5,11,17
1929,5,18,5
1929,5,25,3
1929,6,1,8
1929,6,8,6
1929,6,15,4
1929,6,22,16
1929,6,29,2
1929,7,6,3
1929,7,13,
1929,7,20,
1929,7,27,2
1929,8,3,1
1929,8,10,
1929,8,17,1
1929,8,24,
1929,8,31,
1929,9,7,
1929,9,14,2
1929,9,21,
1929,9,28,
1929,10,5,
1929,10,12,2
1929,10,19,
1929,10,26,2
1929,11,2,5
1929,11,9,13
1929,11,16,16
1929,11,23,13
1929,11,30,19
1929,12,7,13
1929,12,14,28
1929,12,21,14
1929,12,28,18
1930,1,4,49
1930,1,11,47
1930,1,18,29
1930,1,25,52
1930,2,1,65
1930,2,8,63
1930,2,15,63
1930,2,22,97
1930,3,1,104
1930,3,8,66
1930,3,15,166
1930,3,22,151
1930,3,29,134
1930,4,5,260
1930,4,12,194
1930,4,19,168
1930,4,26,169
1930,5,3,199
1930,5,10,281
1930,5,17,105
1930,5,24,255
1930,5,31,154
1930,6,7,141
1930,6,14,136
1930,6,21,98
1930,6,28,54
1930,7,5,15
1930,7,12,22
1930,7,19,5
1930,7,26,5
1930,8,2,3
1930,8,9,10
1930,8,16,
1930,8,23,
1930,8,30,1
1930,9,6,1
1930,9,13,3
1930,9,20,1
1930,9,27,
1930,10,4,1
1930,10,11,1
1930,10,18,1
1930,10,25,4
1930,11,1,3
1930,11,8,3
1930,11,15,7
1930,11,22,11
1930,11,29,7
1930,12,6,8
1930,12,13,8
1930,12,20,9
1930,12,27,1
1931,1,3,10
1931,1,10,22
1931,1,17,10
1931,1,24,14
1931,1,31,18
1931,2,7,8
1931,2,14,11
1931,2,21,7
1931,2,28,8
1931,3,7,9
1931,3,14,9
1931,3,21,28
1931,3,28,21
1931,4,4,3
1931,4,11,14
1931,4,18,26
1931,4,25,24
1931,5,2,21
1931,5,9,22
1931,5,16,58
1931,5,23,62
1931,5,30,32
1931,6,6,39
1931,6,13,29
1931,6,20,18
1931,6,27,10
1931,7,4,5
1931,7,11,1
1931,7,18,10
1931,7,25,1
1931,8,1,
1931,8,8,16
1931,8,15,3
1931,8,22,
1931,8,29,1
1931,9,5,2
1931,9,12,3
1931,9,19,6
1931,9,26,1
1931,10,3,8
1931,10,10,5
1931,10,17,
1931,10,24,5
1931,10,31,3
1931,11,7,3
1931,11,14,2
1931,11,21,2
1931,11,28,2
1931,12,5,2
1931,12,12,7
1931,12,19,7
1931,12,26,7
1932,1,2,6
1932,1,9,23
1932,1,16,7
1932,1,23,5
1932,1,30,15
1932,2,6,7
1932,2,13,26
1932,2,20,4
1932,2,27,7
1932,3,5,10
1932,3,12,11
1932,3,19,9
1932,3,26,5
1932,4,2,16
1932,4,9,5
1932,4,16,11
1932,4,23,2
1932,4,30,3
1932,5,7,2
1932,5,14,3
1932,5,21,59
1932,5,28,11
1932,6,4,4
1932,6,11,3
1932,6,18,7
1932,6,25,1
1932,7,2,3
1932,7,9,12
1932,7,16,
1932,7,23,
1932,7,30,
1932,8,6,3
1932,8,13,
1932,8,20,3
1932,8,27,
1932,9,3,
1932,9,10,2
1932,9,17,2
1932,9,24,2
1932,10,1,
1932,10,8,1
1932,10,15,2
1932,10,22,
1932,10,29,1
1932,11,5,4
1932,11,12,3
1932,11,19,11
1932,11,26,5
1932,12,3,
1932,12,10,3
1932,12,17,3
1932,12,24,1
1932,12,31,18
1933,1,7,4
1933,1,14,2
1933,1,21,5
1933,1,28,1
1933,2,4,1
1933,2,11,
1933,2,18,4
1933,2,25,3
1933,3,4,1
1933,3,11,1
1933,3,18,1
1933,3,25,6
1933,4,1,8
1933,4,8,12
1933,4,15,9
1933,4,22,24
1933,4,29,23
1933,5,6,14
1933,5,13,12
1933,5,20,9
1933,5,27,10
1933,6,3,1
1933,6,10,3
1933,6,17,12
1933,6,24,6
1933,7,1,4
1933,7,8,2
1933,7,15,2
1933,7,22,
1933,7,29,
1933,8,5,
1933,8,12,
1933,8,19,1
1933,8,26,1
1933,9,2,1
1933,9,9,
1933,9,16,2
1933,9,23,2
1933,9,30,1
1933,10,7,2
1933,10,14,
1933,10,21,
1933,10,28,
1933,11,4,6
1933,11,11,4
1933,11,18,1
1933,11,25,3
1933,12,2,1
1933,12,9,3
1933,12,16,3
1933,12,23,
1933,12,30,
1934,1,6,1
1934,1,13,4
1934,1,20,5
1934,1,27,2
1934,2,3,3
1934,2,10,3
1934,2,17,3
1934,2,24,8
1934,3,3,5
1934,3,10,1
1934,3,17,6
1934,3,24,8
1934,3,31,4
1934,4,7,2
1934,4,14,3
1934,4,21,3
1934,4,28,2
1934,5,5,2
1934,5,12,11
1934,5,19,1
1934,5,26,2
1934,6,2,1
1934,6,9,6
1934,6,16,1
1934,6,23,2
1934,6,30,
1934,7,7,1
1934,7,14,3
1934,7,21,
1934,7,28,3
1934,8,4,1
1934,8,11,4
1934,8,18,1
1934,8,25,1
1934,9,1,
1934,9,8,
1934,9,15,2
1934,9,22,4
1934,9,29,5
1934,10,6,3
1934,10,13,4
1934,10,20,1
1934,10,27,46
1934,11,3,13
1934,11,10,1
1934,11,17,49
1934,11,24,14
1934,12,1,14
1934,12,8,22
1934,12,15,26
1934,12,22,37
1934,12,29,6
1935,1,5,33
1935,1,12,78
1935,1,19,77
1935,1,26,104
1935,2,2,136
1935,2,9,191
1935,2,16,370
1935,2,23,524
1935,3,2,672
1935,3,9,887
1935,3,16,924
1935,3,23,712
1935,3,30,1297
1935,4,6,851
1935,4,13,745
1935,4,20,691
1935,4,27,855
1935,5,4,614
1935,5,11,850
1935,5,18,806
1935,5,25,1118
1935,6,1,908
1935,6,8,1465
1935,6,15,1341
1935,6,22,1062
1935,6,29,938
1935,7,6,659
1935,7,13,229
1935,7,20,101
1935,7,27,123
1935,8,3,75
1935,8,10,33
1935,8,17,15
1935,8,24,10
1935,8,31,7
1935,9,7,7
1935,9,14,2
1935,9,21,8
1935,9,28,13
1935,10,5,17
1935,10,12,11
1935,10,19,21
1935,10,26,38
1935,11,2,54
1935,11,9,33
1935,11,16,85
1935,11,23,83
1935,11,30,136
1935,12,7,40
1935,12,14,147
1935,12,21,216
1935,12,28,215
1936,1,4,191
1936,1,11,400
1936,1,18,638
1936,1,25,369
1936,2,1,517
1936,2,8,663
1936,2,15,935
1936,2,22,1140
1936,2,29,1258
1936,3,7,2163
1936,3,14,2542
1936,3,21,2795
1936,3,28,2646
1936,4,4,1865
1936,4,11,1549
1936,4,18,812
1936,4,25,1407
1936,5,2,1637
1936,5,9,1294
1936,5,16,1221
1936,5,23,631
1936,5,30,683
1936,6,6,489
1936,6,13,392
1936,6,20,331
1936,6,27,230
1936,7,4,164
1936,7,11,40
1936,7,18,140
1936,7,25,28
1936,8,1,17
1936,8,8,8
1936,8,15,6
1936,8,22,1
1936,8,29,3
1936,9,5,25
1936,9,12,9
1936,9,19,10
1936,9,26,2
1936,10,3,7
1936,10,10,8
1936,10,17,5
1936,10,24,8
1936,10,31,8
1936,11,7,12
1936,11,14,7
1936,11,21,5
1936,11,28,9
1936,12,5,11
1936,12,12,12
1936,12,19,4
1936,12,26,4
1937,1,2,7
1937,1,9,35
1937,1,16,44
1937,1,23,26
1937,1,30,15
1937,2,6,27
1937,2,13,19
1937,2,20,43
1937,2,27,46
1937,3,6,49
1937,3,13,15
1937,3,20,31
1937,3,27,18
1937,4,3,22
1937,4,10,10
1937,4,17,19
1937,4,24,28
1937,5,1,57
1937,5,8,36
1937,5,15,26
1937,5,22,14
1937,5,29,19
1937,6,5,58
1937,6,12,30
1937,6,19,29
1937,6,26,8
1937,7,3,14
1937,7,10,10
1937,7,17,10
1937,7,24,15
1937,7,31,6
1937,8,7,1
1937,8,14,1
1937,8,21,6
1937,8,28,7
1937,9,4,6
1937,9,11,6
1937,9,18,3
1937,9,25,2
1937,10,2,21
1937,10,9,8
1937,10,16,
1937,10,23,24
1937,10,30,1
1937,11,6,1
1937,11,13,5
1937,11,20,7
1937,11,27,11
1937,12,4,5
1937,12,11,6
1937,12,18,6
1937,12,25,
1938,1,1,8
1938,1,8,7
1938,1,15,15
1938,1,22,10
1938,1,29,13
1938,2,5,5
1938,2,12,23
1938,2,19,7
1938,2,26,32
1938,3,5,14
1938,3,12,19
1938,3,19,21
1938,3,26,13
1938,4,2,27
1938,4,9,69
1938,4,16,19
1938,4,23,20
1938,4,30,26
1938,5,7,15
1938,5,14,22
1938,5,21,27
1938,5,28,17
1938,6,4,11
1938,6,11,30
1938,6,18,20
1938,6,25,13
1938,7,2,13
1938,7,9,18
1938,7,16,24
1938,7,23,12
1938,7,30,3
1938,8,6,7
1938,8,13,2
1938,8,20,8
1938,8,27,4
1938,9,3,1
1938,9,10,7
1938,9,17,4
1938,9,24,6
1938,10,1,3
1938,10,8,6
1938,10,15,3
1938,10,22,17
1938,10,29,11
1938,11,5,21
1938,11,12,17
1938,11,19,14
1938,11,26,25
1938,12,3,25
1938,12,10,18
1938,12,17,28
1938,12,24,53
1938,12,31,14
1939,1,7,17
1939,1,14,18
1939,1,21,22
1939,1,28,28
1939,2,4,25
1939,2,11,29
1939,2,18,44
1939,2,25,28
1939,3,4,40
1939,3,11,32
1939,3,18,59
1939,3,25,20
1939,4,1,24
1939,4,8,14
1939,4,15,16
1939,4,22,26
1939,4,29,13
1939,5,6,14
1939,5,13,53
1939,5,20,47
1939,5,27,25
1939,6,3,26
1939,6,10,72
1939,6,17,125
1939,6,24,61
1939,7,1,31
1939,7,8,53
1939,7,15,3
1939,7,22,31
1939,7,29,
1939,8,5,4
1939,8,12,1
1939,8,19,6
1939,8,26,17
1939,9,2,1
1939,9,9,19
1939,9,16,2
1939,9,23,4
1939,9,30,3
1939,10,7,1
1939,10,14,10
1939,10,21,7
1939,10,28,4
1939,11,4,20
1939,11,11,5
1939,11,18,3
1939,11,25,4
1939,12,2,11
1939,12,9,7
1939,12,16,4
1939,12,23,16
1939,12,30,15
1940,1,6,17
1940,1,13,20
1940,1,20,19
1940,1,27,12
1940,2,3,19
1940,2,10,17
1940,2,17,17
1940,2,24,12
1940,3,2,20
1940,3,9,110
1940,3,16,27
1940,3,23,10
1940,3,30,12
1940,4,6,16
1940,4,13,21
1940,4,20,52
1940,4,27,21
1940,5,4,16
1940,5,11,32
1940,5,18,78
1940,5,25,20
1940,6,1,33
1940,6,8,10
1940,6,15,19
1940,6,22,25
1940,6,29,6
1940,7,6,8
1940,7,13,6
1940,7,20,11
1940,7,27,18
1940,8,3,5
1940,8,10,7
1940,8,17,4
1940,8,24,5
1940,8,31,11
1940,9,7,1
1940,9,14,9
1940,9,21,9
1940,9,28,6
1940,10,5,7
1940,10,12,2
1940,10,19,1
1940,10,26,7
1940,11,2,30
1940,11,9,31
1940,11,16,13
1940,11,23,251
1940,11,30,132
1940,12,7,207
1940,12,14,211
1940,12,21,176
1940,12,28,244
1941,1,7,208
1941,1,11,545
1941,1,18,812
1941,1,25,789
1941,2,1,1054
1941,2,8,1059
1941,2,15,1694
1941,2,22,1611
1941,3,1,1768
1941,3,8,2120
1941,3,15,1970
1941,3,22,2491
1941,3,29,2045
1941,4,5,2159
1941,4,12,1449
1941,4,19,1306
1941,4,26,1186
1941,5,3,1174
1941,5,10,982
1941,5,17,803
1941,5,24,646
1941,5,31,647
1941,6,7,448
1941,6,14,317
1941,6,21,221
1941,6,28,201
1941,7,5,89
1941,7,12,82
1941,7,14,33
1941,7,26,15
1941,8,2,20
1941,8,9,65
1941,8,16,16
1941,8,23,9
1941,8,30,8
1941,9,6,14
1941,9,13,11
1941,9,20,5
1941,9,27,5
1941,10,4,13
1941,10,11,14
1941,10,18,13
1941,10,25,7
1941,11,1,4
1941,11,8,8
1941,11,15,13
1941,11,22,22
1941,11,29,19
1941,12,6,16
1941,12,13,13
1941,12,20,12
1941,12,27,18
1942,1,3,20
1942,1,10,21
1942,1,17,29
1942,1,24,35
1942,1,31,33
1942,2,7,64
1942,2,14,41
1942,2,21,51
1942,2,28,72
1942,3,7,74
1942,3,14,65
1942,3,21,105
1942,3,28,85
1942,4,4,40
1942,4,11,69
1942,4,18,60
1942,4,25,50
1942,5,2,68
1942,5,9,63
1942,5,16,62
1942,5,23,39
1942,5,30,46
1942,6,6,46
1942,6,13,53
1942,6,20,46
1942,6,27,23
1942,7,4,22
1942,7,11,26
1942,7,18,8
1942,7,25,12
1942,8,1,11
1942,8,8,9
1942,8,15,3
1942,8,22,7
