# Rubella cases in Ontario Canada; 1929-89,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,
# See the IIDDA website for a list of all papers that have used this data file.,,
year,month,cases
1929,1,19
1929,2,26
1929,3,22
1929,4,18
1929,5,33
1929,6,36
1929,7,7
1929,8,2
1929,9,2
1929,10,4
1929,11,66
1929,12,73
1930,1,177
1930,2,288
1930,3,621
1930,4,791
1930,5,994
1930,6,429
1930,7,47
1930,8,14
1930,9,5
1930,10,7
1930,11,31
1930,12,26
1931,1,74
1931,2,34
1931,3,67
1931,4,67
1931,5,195
1931,6,96
1931,7,17
1931,8,20
1931,9,12
1931,10,21
1931,11,9
1931,12,23
1932,1,56
1932,2,44
1932,3,35
1932,4,37
1932,5,75
1932,6,15
1932,7,16
1932,8,6
1932,9,6
1932,10,4
1932,11,23
1932,12,25
1933,1,12
1933,2,8
1933,3,9
1933,4,76
1933,5,45
1933,6,22
1933,7,8
1933,8,2
1933,9,6
1933,10,2
1933,11,14
1933,12,7
1934,1,12
1934,2,17
1934,3,24
1934,4,10
1934,5,16
1934,6,10
1934,7,7
1934,8,7
1934,9,11
1934,10,54
1934,11,77
1934,12,105
1935,1,292
1935,2,1221
1935,3,4492
1935,4,3142
1935,5,3388
1935,6,5714
1935,7,1112
1935,8,140
1935,9,30
1935,10,87
1935,11,391
1935,12,618
1936,1,1598
1936,2,4513
1936,3,10116
1936,4,5633
1936,5,5466
1936,6,1442
1936,7,372
1936,8,35
1936,9,46
1936,10,36
1936,11,33
1936,12,31
1937,1,127
1937,2,125
1937,3,113
1937,4,79
1937,5,152
1937,6,125
1937,7,55
1937,8,15
1937,9,17
1937,10,54
1937,11,24
1937,12,17
1938,1,127
1938,2,125
1938,3,113
1938,4,79
1938,5,152
1938,6,125
1938,7,55
1938,8,15
1938,9,17
1938,10,54
1938,11,24
1938,12,17
1939,1,85
1939,2,126
1939,3,151
1939,4,93
1939,5,139
1939,6,284
1939,7,118
1939,8,28
1939,9,29
1939,10,22
1939,11,32
1939,12,53
1940,1,68
1940,2,65
1940,3,179
1940,4,110
1940,5,146
1940,6,93
1940,7,43
1940,8,32
1940,9,25
1940,10,17
1940,11,457
1940,12,838
1941,1,2354
1941,2,5418
1941,3,10394
1941,4,6100
1941,5,4252
1941,6,1187
1941,7,219
1941,8,118
1941,9,35
1941,10,47
1941,11,66
1941,12,59
1942,1,138
1942,2,228
1942,3,329
1942,4,219
1942,5,278
1942,6,168
1942,7,68
1942,8,34
1942,9,20
1942,10,33
1942,11,42
1942,12,34
1943,1,61
1943,2,73
1943,3,125
1943,4,376
1943,5,663
1943,6,519
1943,7,173
1943,8,34
1943,9,20
1943,10,39
1943,11,49
1943,12,46
1944,1,71
1944,2,130
1944,3,200
1944,4,583
1944,5,496
1944,6,281
1944,7,146
1944,8,52
1944,9,25
1944,10,23
1944,11,42
1944,12,59
1945,1,58
1945,2,52
1945,3,86
1945,4,94
1945,5,133
1945,6,366
1945,7,84
1945,8,23
1945,9,26
1945,10,43
1945,11,46
1945,12,97
1946,1,110
1946,2,133
1946,3,350
1946,4,183
1946,5,138
1946,6,128
1946,7,49
1946,8,17
1946,9,22
1946,10,23
1946,11,56
1946,12,35
1947,1,99
1947,2,188
1947,3,320
1947,4,178
1947,5,248
1947,6,127
1947,7,41
1947,8,60
1947,9,26
1947,10,35
1947,11,70
1947,12,48
1948,1,155
1948,2,125
1948,3,92
1948,4,100
1948,5,73
1948,6,54
1948,7,26
1948,8,22
1948,9,26
1948,10,55
1948,11,32
1948,12,66
1949,1,81
1949,2,85
1949,3,207
1949,4,305
1949,5,203
1949,6,227
1949,7,52
1949,8,27
1949,9,21
1949,10,43
1949,11,58
1949,12,229
1950,1,416
1950,2,1095
1950,3,2527
1950,4,5015
1950,5,5524
1950,6,4749
1950,7,1000
1950,8,165
1950,9,208
1950,10,186
1950,11,179
1950,12,290
1951,1,587
1951,2,890
1951,3,892
1951,4,835
1951,5,829
1951,6,922
1951,7,187
1951,8,75
1951,9,61
1951,10,60
1951,11,69
1951,12,148
1952,1,420
1952,2,532
1952,3,868
1952,4,769
1952,5,1046
1952,6,723
1952,7,199
1952,8,19
1952,9,43
1952,10,46
1952,11,110
1952,12,105
1953,1,138
1953,2,217
1953,3,596
1953,4,407
1953,5,704
1953,6,255
1953,7,125
1953,8,31
1953,9,45
1953,10,61
1953,11,44
1953,12,54
1954,1,84
1954,2,156
1954,3,119
1954,4,139
1954,5,203
1954,6,272
1954,7,110
1954,8,47
1954,9,39
1954,10,88
1954,11,62
1954,12,194
1955,1,709
1955,2,1724
1955,3,3315
1955,4,3859
1955,5,2941
1955,6,2321
1955,7,476
1955,8,95
1955,9,71
1955,10,130
1955,11,168
1955,12,314
1956,1,742
1956,2,1216
1956,3,2254
1956,4,4028
1956,5,3790
1956,6,3011
1956,7,279
1956,8,116
1956,9,181
1956,10,119
1956,11,168
1956,12,139
1957,1,213
1957,2,193
1957,3,335
1957,4,245
1957,5,326
1957,6,342
1957,7,142
1957,8,95
1957,9,76
1957,10,53
1957,11,35
1957,12,54
1958,1,56
1958,2,168
1958,3,389
1958,4,368
1958,5,908
1958,6,964
1958,7,117
1958,8,44
1958,9,56
1958,10,66
1958,11,133
1958,12,138
1959,1,298
1959,2,340
1959,3,382
1959,4,329
1959,5,678
1959,6,542
1959,7,132
1959,8,73
1959,9,41
1959,10,35
1959,11,75
1959,12,95
1960,1,241
1960,2,327
1960,3,449
1960,4,640
1960,5,718
1960,6,720
1960,7,168
1960,8,47
