# Weekly cases of whooping cough; from 1946 to 1991; (Greater) London.,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
year,month,day,cases
1946,1,5,96
1946,1,12,91
1946,1,19,117
1946,1,26,70
1946,2,2,118
1946,2,9,100
1946,2,16,112
1946,2,23,133
1946,3,2,142
1946,3,9,138
1946,3,16,178
1946,3,23,192
1946,3,30,200
1946,4,6,160
1946,4,13,180
1946,4,20,176
1946,4,27,138
1946,5,4,180
1946,5,11,160
1946,5,18,188
1946,5,25,182
1946,6,1,193
1946,6,8,162
1946,6,15,150
1946,6,22,142
1946,6,29,157
1946,7,6,158
1946,7,13,148
1946,7,20,167
1946,7,27,166
1946,8,3,159
1946,8,10,121
1946,8,17,148
1946,8,24,170
1946,8,31,124
1946,9,7,130
1946,9,14,142
1946,9,21,110
1946,9,28,81
1946,10,5,90
1946,10,12,108
1946,10,19,101
1946,10,26,94
1946,11,2,83
1946,11,9,74
1946,11,16,99
1946,11,23,106
1946,11,30,109
1946,12,7,105
1946,12,14,96
1946,12,21,103
1946,12,28,82
1947,1,4,115
1947,1,11,132
1947,1,18,158
1947,1,25,196
1947,2,1,156
1947,2,8,161
1947,2,15,180
1947,2,22,212
1947,3,1,224
1947,3,8,262
1947,3,15,252
1947,3,22,230
1947,3,29,267
1947,4,5,192
1947,4,12,221
1947,4,19,255
1947,4,26,256
1947,5,3,250
1947,5,10,300
1947,5,17,263
1947,5,24,226
1947,5,31,240
1947,6,7,231
1947,6,14,262
1947,6,21,276
1947,6,28,188
1947,7,5,287
1947,7,12,267
1947,7,19,217
1947,7,26,233
1947,8,2,195
1947,8,9,156
1947,8,16,203
1947,8,23,180
1947,8,30,193
1947,9,6,177
1947,9,13,145
1947,9,20,131
1947,9,27,117
1947,10,4,116
1947,10,11,73
1947,10,18,87
1947,10,25,78
1947,11,1,59
1947,11,8,73
1947,11,15,70
1947,11,22,86
1947,11,29,105
1947,12,6,102
1947,12,13,92
1947,12,20,122
1947,12,27,67
1948,1,3,135
1948,1,10,163
1948,1,17,160
1948,1,24,158
1948,1,31,191
1948,2,7,172
1948,2,14,193
1948,2,21,155
1948,2,28,158
1948,3,6,217
1948,3,13,236
1948,3,20,246
1948,3,27,192
1948,4,3,166
1948,4,10,231
1948,4,17,286
1948,4,24,271
1948,5,1,253
1948,5,8,221
1948,5,15,217
1948,5,22,228
1948,5,29,265
1948,6,5,243
1948,6,12,248
1948,6,19,273
1948,6,26,217
1948,7,3,223
1948,7,10,259
1948,7,17,258
1948,7,24,274
1948,7,31,275
1948,8,7,263
1948,8,14,228
1948,8,21,315
1948,8,28,248
1948,9,4,238
1948,9,11,229
1948,9,18,166
1948,9,25,170
1948,10,2,157
1948,10,9,127
1948,10,16,146
1948,10,23,120
1948,10,30,127
1948,11,6,111
1948,11,13,152
1948,11,20,168
1948,11,27,162
1948,12,4,141
1948,12,11,187
1948,12,18,154
1948,12,25,100
1949,1,1,133
1949,1,8,168
1949,1,15,172
1949,1,22,195
1949,1,29,168
1949,2,5,176
1949,2,12,212
1949,2,19,191
1949,2,26,195
1949,3,5,218
1949,3,12,189
1949,3,19,221
1949,3,26,181
1949,4,2,247
1949,4,9,171
1949,4,16,194
1949,4,23,157
1949,4,30,167
1949,5,7,196
1949,5,14,183
1949,5,21,155
1949,5,28,141
1949,6,4,111
1949,6,11,102
1949,6,18,111
1949,6,25,90
1949,7,2,110
1949,7,9,92
1949,7,16,84
1949,7,23,86
1949,7,30,84
1949,8,6,74
1949,8,13,82
1949,8,20,82
1949,8,27,79
1949,9,3,77
1949,9,10,60
1949,9,17,48
1949,9,24,39
1949,10,1,43
1949,10,8,31
1949,10,15,51
1949,10,22,26
1949,10,29,31
1949,11,5,26
1949,11,12,22
1949,11,19,35
1949,11,26,43
1949,12,3,36
1949,12,10,33
1949,12,17,32
1949,12,24,39
1949,12,31,34
1950,1,7,61
1950,1,14,59
1950,1,21,88
1950,1,28,77
1950,2,4,52
1950,2,11,72
1950,2,18,68
1950,2,25,78
1950,3,4,75
1950,3,11,77
1950,3,18,70
1950,3,25,93
1950,4,1,116
1950,4,8,102
1950,4,15,110
1950,4,22,108
1950,4,29,144
1950,5,6,167
1950,5,13,203
1950,5,20,176
1950,5,27,172
1950,6,3,139
1950,6,10,168
1950,6,17,199
1950,6,24,211
1950,7,1,234
1950,7,8,233
1950,7,15,256
1950,7,22,303
1950,7,29,268
1950,8,5,282
1950,8,12,253
1950,8,19,336
1950,8,26,354
1950,9,2,325
1950,9,9,280
1950,9,16,267
1950,9,23,234
1950,9,30,225
1950,10,7,255
1950,10,14,231
1950,10,21,251
1950,10,28,295
1950,11,4,305
1950,11,11,285
1950,11,18,340
1950,11,25,376
1950,12,2,417
1950,12,9,394
1950,12,16,424
1950,12,23,360
1950,12,30,325
1951,1,6,521
1951,1,13,490
1951,1,20,452
1951,1,27,464
1951,2,3,428
1951,2,10,394
1951,2,17,404
1951,2,24,425
1951,3,3,396
1951,3,10,420
1951,3,17,402
1951,3,24,260
1951,3,31,198
1951,4,7,247
1951,4,14,272
1951,4,21,209
1951,4,28,248
1951,5,5,218
1951,5,12,161
1951,5,19,122
1951,5,26,174
1951,6,2,178
1951,6,9,207
1951,6,16,190
1951,6,23,184
1951,6,30,186
1951,7,7,205
1951,7,14,193
1951,7,21,185
1951,7,28,171
1951,8,4,146
1951,8,11,135
1951,8,18,154
1951,8,25,134
1951,9,1,107
1951,9,8,124
1951,9,15,112
1951,9,22,83
1951,9,29,90
1951,10,6,62
1951,10,13,77
1951,10,20,85
1951,10,27,48
1951,11,3,51
1951,11,10,61
1951,11,17,62
1951,11,24,62
1951,12,1,48
1951,12,8,61
1951,12,15,51
1951,12,22,63
1951,12,29,73
1952,1,5,74
1952,1,12,88
1952,1,19,82
1952,1,26,86
1952,2,2,83
1952,2,9,91
1952,2,16,101
1952,2,23,128
1952,3,1,116
1952,3,8,114
1952,3,15,158
1952,3,22,131
1952,3,29,146
1952,4,5,134
1952,4,12,129
1952,4,19,111
1952,4,26,163
1952,5,3,177
1952,5,10,178
1952,5,17,155
1952,5,24,165
1952,5,31,125
1952,6,7,112
1952,6,14,106
1952,6,21,105
1952,6,28,124
1952,7,5,104
1952,7,12,105
1952,7,19,88
1952,7,26,97
1952,8,2,110
