disease,nesting_disease,historical_disease_family,historical_disease,historical_disease_subclass,icd_7,icd_7_subclass,icd_9,icd_9_subclass,cleaned_category,infection_type,infectious_agent,body_system_primarily_affected,organ_primarily_affected,additional_info,missing_info,pattern_family,pattern,pattern_subclass,exact_family,exact,exact_subclass,link_family,link,link_subclass,notes,original_dataset_id,scan_id,digitization_id
staphylococcal-food-poisoning,food-poisoning,,Food poisoning,Staphylococcus intoxication,,049.0,,,,,,,,,,,,,,,,,,,,,,
AIDS,HIV,STBBI,AIDS,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,HIV,,AIDS**,,,,042-044,,,,,,,,,,,,,,,,,,,,,
AIDS,HIV,,AIDS,,,,042-044,,,,,,,,,,,,,,,,,,,,,
AIDS,HIV,,aids,,,,,,,,,,,,,,,,,,,,,,Counts of HIV and AIDS are not mutually exclusive and should therefore not be summed together.,,,
Creutzfeldt-Jakob-disease,,,CREUTZFELD-JACOB DISEASE,,,,46.1,,,,,,,,,,,,,,,,,,,,,
Creutzfeldt-Jakob-disease,,OTHER DISEASES,CREUTZFELD-JACOB DISEASE,,,,,,,,,,,,,,,,,,,,,,,,,
Creutzfeldt-Jakob-disease,,,"Creutzfeldt-Jakob Disease, Classic",,,,,,,prion,prion,neuromuscular,,,,,creu,,,creu,,,https://en.wikipedia.org/wiki/Creutzfeldt%E2%80%93Jakob_disease,,,,,
Creutzfeldt-Jakob-disease,,,Creutzfeld Jakob Disease,,,,046.1,,,prion,prion,neuromuscular,,,,,creu,,,creu,,,https://en.wikipedia.org/wiki/Creutzfeldt%E2%80%93Jakob_disease,,,,,
Creutzfeldt-Jakob-disease,,,"creutzfeldt-jakob disease, all type",,,,,,,prion,prion,neuromuscular,,,,,creu,,,creu,,,https://en.wikipedia.org/wiki/Creutzfeldt%E2%80%93Jakob_disease,,,,,
HIV,,STBBI,HIV,,,,,,,,,,,,,,,,,,,,,,,,,
HIV,,,hiv,,,,,,,,,,,,,,,,,,,,,,,,,
HIV,,HIV,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV,,,Human Immunodeficiency Virus,,,,,,STI,viral,HIV,unspecified,,,,,hiv,,,.hiv. disease$,,,,,,,,
STI-chancroid-granuloma-inguinale-lymhpogranuloma-venereum,other-venereal-diseases,,Venereal diseases,Other venereal diseases,,,,,STI,unspecified,unspecified,urogenital,,,,,,,,,,,https://en.wikipedia.org/wiki/Sexually_transmitted_infection,https://en.wikipedia.org/wiki/Sexually_transmitted_infection,,,,
STI-chancroid-granuloma-inguinale-lymhpogranuloma-venereum,other-venereal-diseases,,Venereal diseases,Other,,036-039,,,STI,unspecified,unspecified,urogenital,,,,,,,,,,,https://en.wikipedia.org/wiki/Sexually_transmitted_infection,,,,,
STI-chancroid-granuloma-inguinale-lymhpogranuloma-venereum,other-venereal-diseases,,Venereal diseases,Other³,,036-038,,,,,,,,,,,,,,,,,,,,,,
STI-chancroid-granuloma-inguinale-lymhpogranuloma-venereum,other-venereal-diseases,Venereal diseases,Other,,"099.0, 099.1, 099.2",,,,,unspecified,unspecified,urogenital,,,,,,,,,,,,,,,,
STI-chancroid-granuloma-inguinale-lymhpogranuloma-venereum,other-venereal-diseases,,"Other Chacroid, Granuloma inguinale, Lymhpogranuloma venereum",,099.0 099.1 099.2,,,,STI,unspecified,unspecified,urogenital,,,,,,,,,,,,,,,,
STI-chancroid-granuloma-inguinale-lymhpogranuloma-venereum,other-venereal-diseases,,Other venereal diseases,,099.0-099.2,,,,STI,unspecified,unspecified,urogenital,,,,,,,,,,,https://en.wikipedia.org/wiki/Sexually_transmitted_infection,,,,,
STI-chancroid-granuloma-inguinale-lymhpogranuloma-venereum,other-venereal-diseases,,Other VD,,,,,,STI,unspecified,unspecified,urogenital,,,,,,,,,,,,,,,,
Western-Equine-encephalitis,encephalitis,,W. EQUINE ENCEPHALITIS,,,,62.1,,,,,,,,,,,,,,,,,,,,,
