cause,cause_corrected,synonym,nesting_cause
abcess,Abcess,Abcess,all
Abcess,Abcess,Abcess,all
Abcess and Imposthume,Abcess And Imposthume,Abcess And Imposthume,all
abdominal.tuberculosis,Abdominal Tuberculosis,Abdominal Tuberculosis,Tubercular Diseases
abdominal tuberculosis,Abdominal Tuberculosis,Abdominal Tuberculosis,Tubercular Diseases
abortion,Abortion,Abortion,all
abortive,Abortive,Abortive,all
Abortive,Abortive,Abortive,all
Abortive and Stillborn,Abortive And Stillborn,Abortive And Stillborn,all
abscess,Abscess,Abscess,all
accident,Accident,Accidents,all
accident.or.negligence.burns.and.scalds,Accident Or Negligence Burns And Scalds,Accident Or Negligence Burns And Scalds,all
accident.or.negligence.burns.scalds,Accident Or Negligence Burns Scalds,Accident Or Negligence Burns Scalds,all
accident.or.negligence.drowning,Accident Or Negligence Drowning,Accident Or Negligence Drowning,all
accident.or.negligence.fractures.and.contusions,Accident Or Negligence Fractures And Contusions,Accident Or Negligence Fractures And Contusions,all
accident.or.negligence.otherwise,Accident Or Negligence Otherwise,Accident Or Negligence Otherwise,all
accident.or.negligence.poison,Accident Or Negligence Poison,Accident Or Negligence Poison,all
accident.or.negligence.suffocation,Accident Or Negligence Suffocation,Accident Or Negligence Suffocation,all
accident.or.negligence.wounds,Accident Or Negligence Wounds,Accident Or Negligence Wounds,all
accidental.burns.and.scalds,Accidental Burns And Scalds,Accidental Burns And Scalds,all
accidental.drowning,Accidental Drowning,Accidental Drowning,all
accidental.fractures.and.contusions,Accidental Fractures And Contusions,Accidental Fractures And Contusions,all
accidental.otherwise,Accidental Otherwise,Accidental Otherwise,all
accidental.poison,Accidental Poison,Accidental Poison,all
accidental.suffocation,Accidental Suffocation,Accidental Suffocation,all
accidental.wounds,Accidental Wounds,Accidental Wounds,all
accidental.wounds.cut.stab,Accidental Wounds Cut Stab,Accidental Wounds Cut Stab,all
accidental.wounds.gunshot,Accidental Wounds Gunshot,Accidental Wounds Gunshot,all
Accidents,Accidents,Accidents,all
acute.endocarditis,Acute Endocarditis,Acute Endocarditis,all
acute endocarditis,Acute Endocarditis,Acute Endocarditis,all
acute.infectious.encephalitis,Acute Infectious Encephalitis,Acute Infectious Encephalitis,all
acute.infective.encephalitis.lethargic,Acute Infective Encephalitis Lethargic,Acute Infective Encephalitis Lethargic,all
acute.nephritis,Acute Nephritis,Acute Nephritis,Nephritis
acute.poliomyelitis.polioencephalitis,Acute Poliomyelitis Polioencephalitis,Acute Poliomyelitis Polioencephalitis,all
acute.poliomyencephalitis,Acute Poliomyencephalitis,Acute Poliomyencephalitis,all
Age and Debility,Age And Debility,Age And Debility,all
aged,Aged,Aged,all
Aged,Aged,Aged,all
ague,Ague,Ague,Zymotic Diseases
Ague,Ague,Ague,Zymotic Diseases
alchoholism.del.tremens,Alchoholism Del Tremens,Alchoholism Del Tremens,all
alchoholism.intemperance,Alchoholism Intemperance,Alcoholism Intemperance,all
alcoholism,Alcoholism,Alcoholism,all
alcoholism.del.tremens,Alcoholism Del Tremens,Alcoholism Del Tremens,all
alcoholism.del.tremens.,Alcoholism Del Tremens,Alcoholism Del Tremens,all
alcoholism.intemperance,Alcoholism Intemperance,Alcoholism Intemperance,all
alcoholism.intemperance.,Alcoholism Intemperance,Alcoholism Intemperance,all
all,All,All,all
all.violence,All Violence,All Violence,all
amputation,Amputation,Amputation,all
Amputation [...],Amputation,Amputation,all
anaemia.leucocythamia,Anaemia Leucocythamia,Anaemia Leucocythamia,all
anaemias,Anaemias,Anaemias,all
aneurism,Aneurism,Aneurism,Diseases Of The Heart And Blood Vessels
apoplexie,Apoplexie,Apoplexy,Diseases Of The Brain Spinal Marrow Nerves And Senses
Apoplexie,Apoplexie,Apoplexy,Diseases Of The Brain Spinal Marrow Nerves And Senses
apoplexy,Apoplexy,Apoplexy,Diseases Of The Brain Spinal Marrow Nerves And Senses
Apoplexy,Apoplexy,Apoplexy,Diseases Of The Brain Spinal Marrow Nerves And Senses
Apoplexy and Suddenly,Apoplexy And Suddenly,Apoplexy And Suddenly,all
apopolexy,Apopolexy,Apopolexy,Diseases Of The Brain Spinal Marrow Nerves And Senses
appendicitis,Appendicitis,Appendicitis,all
appendicitis.typhlitis,Appendicitis Typhlitis,Appendicitis Typhlitis,all
