location,location_type,iso_3166,iso_3166_2
ALBERTA,,CA,CA-AB
ALBERTA,province,CA,CA-AB
ALTA.,,CA,CA-AB
ALTA.,province,CA,CA-AB
Abbotsford,municipality,,
Abercrombie,municipality,,
"Abercrombie, partie Esr",municipality,,
Abestos,municipality,,
Actan Vale,municipality,,
Acton Vale,municipality,,
Acton-Vale,municipality,,
Agnanis,municipality,,
Albanel,municipality,,
Alberta,,CA,CA-AB
Alberta,province,CA,CA-AB
Alberta,prov,CA,CA-AB
"Aldefield, c'ton - t'ship",municipality,,
Aldfield,municipality,,
Aldfield Est-East,municipality,,
Allumette Island,municipality,,
Almaville,municipality,,
Alta.,,CA,CA-AB
Alta.,province,CA,CA-AB
Amherst,municipality,,
Amos,municipality,,
Ancienne Lorette,municipality,,
Andreville,municipality,,
Andréville,municipality,,
Ange Gardien,municipality,,
Ange-Gardien,municipality,,
Angers,municipality,,
"Angers, village",municipality,,
"Angres, village",municipality,,
Angus Est (East),municipality,,
Angus est (East),municipality,,
Annaville,municipality,,
Anse aux Gascons,municipality,,
Anse aux Griffons,municipality,,
Anse du Cap,municipality,,
Anse-aux-Gascons,municipality,,
Anse-aux-Grascons,municipality,,
Anse-aux-Griffons,municipality,,
Anse-du-Cap,municipality,,
Anthier,municipality,,
Armagh,municipality,,
Arthabaska,municipality,,
"Arthabaska, ville",municipality,,
Arthabaskaville,municipality,,
"Arthbaska, ville",municipality,,
Arundel,municipality,,
Asbestos,municipality,,
"Asbestos, village",municipality,,
Ascot,municipality,,
Ascot Corner,municipality,,
"Ascot, canton",municipality,,
"Ashford, canton",municipality,,
"Ashford, township",municipality,,
At-Arsene,municipality,,
At-Augustin,municipality,,
Aubert Gallion,municipality,,
Aubert-Gallion,municipality,,
Auckland,municipality,,
Aukland,municipality,,
Aumond,municipality,,
Ayer's Cliff,municipality,,
Ayer's-Cliff,municipality,,
Aylmer,municipality,,
"Aylmer, ville (town)",municipality,,
"Aylmer, ville - town",municipality,,
Aylwin,municipality,,
Aymers-Cliff,municipality,,
B.C.,,CA,CA-BC
B.C.,province,CA,CA-BC
B.C. - C.B.,province,CA,CA-BC
BRITISH COLUMBIA,,CA,CA-BC
"Bagot, partie nord-ouest",municipality,,
Bagotville,municipality,,
Baie D'Urfée,municipality,,
Baie Shainigan,municipality,,
Baie Shawinigan,municipality,,
Baie d'Urfée,municipality,,
Baieville,municipality,,
Bale Shawinigan - Bay,municipality,,
Barford,municipality,,
Barnston,municipality,,
Batiscan,municipality,,
Beaconsfield,municipality,,
Beauceville,municipality,,
Beauharnois,municipality,,
"Beauharnois, paroisse",municipality,,
"Beauharnois, ville",municipality,,
"Beauharnois, ville - town",municipality,,
Beaumont,municipality,,
Beauport,municipality,,
Beauport Est,municipality,,
"Beauport, par",municipality,,
"Beauport, paroisse",municipality,,
"Beauport, vilage",municipality,,
"Beauport, village",municipality,,
"Beauport, ville",municipality,,
"Becancourt, paroisse",municipality,,
"Becancourt, paroisse (parish)",municipality,,
"Becancourt, village",municipality,,
Bedford,municipality,,
"Bedford, canton",municipality,,
"Bedford, ville",municipality,,
"Bedford, ville - town",municipality,,
Beebe Plain,municipality,,
Beford,municipality,,
Begon,municipality,,
Beloeil,municipality,,
Beloeil ville,municipality,,
"Beloeil, village",municipality,,
"Beloeil, ville",municipality,,
"Beloeil, ville - town",municipality,,
"Beloeil, ville et paroisse",municipality,,
Berhier en Bas,municipality,,
Bernierville,municipality,,
Berthier en Bas (Lower),municipality,,
"Berthier, paroisse",municipality,,
"Berthier, ville",municipality,,
Berthierville,municipality,,
Bic,municipality,,
"Bic, paroisse",municipality,,
"Bic, village",municipality,,
"Bickingham, ville",municipality,,
Bienville,municipality,,
"Bigelow, Blake, Wells & McGill",municipality,,
"Bigelow, Blake, Wells, et McGill",municipality,,
Bishop'e Crossing,municipality,,
Bishop's Crossing,municipality,,
Bishops Crossing,municipality,,
Black Lake,municipality,,
Bois Franc,municipality,,
"Bois, canton",municipality,,
"Bois, canton (township)",municipality,,
Bolton East,municipality,,
Bolton Est,municipality,,
Bolton Est (East),municipality,,
"Bolton Est - East, canton - township",municipality,,
Bolton Ouest,municipality,,
Bolton Ouest (West),municipality,,
Bolton Ouest - West,municipality,,
Bolton est,municipality,,
Bolton-Ouest,municipality,,
"Bome, canton",municipality,,
Bonsecours,municipality,,
"Bonsecours, village",municipality,,
Boucherville,municipality,,
Boucherville village,municipality,,
"Boucherville, paroisse",municipality,,
"Boucherville, village",municipality,,
"Boucherville, village et paroisse",municipality,,
Bouchette,municipality,,
Bouchette Sud,municipality,,
"Bourget, canton",municipality,,
"Boyer, partie Ouest",municipality,,
Breakeyville,municipality,,
Bristol,municipality,,
Briston,municipality,,
British Columbia,,CA,CA-BC
British Columbia,province,CA,CA-BC
British Columbia,prov,CA,CA-BC
Brome,municipality,,
Brome c'ton - t'ship,municipality,,
"Brome, c'ton (t'ship)",municipality,,
"Brome, canton",municipality,,
"Brome, canton (township)",municipality,,
"Brome,canton",municipality,,
Brompton,municipality,,
Brompton & Gore,municipality,,
Brompton Gore,municipality,,
Brompton and Gore,municipality,,
"Brompton, c'ton - t'ship",municipality,,
"Brompton, canton",municipality,,
"Brompton, canton (township)",municipality,,
"Brompton, township",municipality,,
Bromptonville,municipality,,
"Bromptonville, canton (township)",municipality,,
Bryson,municipality,,
"Bryson, village",municipality,,
Bréboeuf,municipality,,
Buckingham,municipality,,
Buckingham Ouest (West),municipality,,
Buckingham Ouest - W.,municipality,,
Buckingham Ouest - West,municipality,,
Buckingham sud-est,municipality,,
"Buckingham, canton",municipality,,
"Buckingham, canton (township)",municipality,,
"Buckingham, partie O",municipality,,
"Buckingham, partie Ouest",municipality,,
"Buckingham, town",municipality,,
"Buckingham, village",municipality,,
"Buckingham, ville",municipality,,
"Buckingham, ville (town)",municipality,,
"Buckingham, ville - town",municipality,,
Bury,municipality,,
"Bécancour, paroisse",municipality,,
