ICD_10_CD,disease_name,age_group,year,week,count
G82.0,Acute Flaccid Paralysis,10-14 years,2003,17,1
G82.0,Acute Flaccid Paralysis,1-4 years,2003,18,1
G82.0,Acute Flaccid Paralysis,10-14 years,2003,26,1
G82.0,Acute Flaccid Paralysis,1-4 years,2003,52,1
G82.0,Acute Flaccid Paralysis,5-9 years,2004,10,1
G82.0,Acute Flaccid Paralysis,1-4 years,2004,13,1
G82.0,Acute Flaccid Paralysis,5-9 years,2006,3,1
G82.0,Acute Flaccid Paralysis,1-4 years,2006,7,1
G82.0,Acute Flaccid Paralysis,5-9 years,2006,9,1
G82.0,Acute Flaccid Paralysis,10-14 years,2006,15,1
G82.0,Acute Flaccid Paralysis,1-4 years,2006,15,1
G82.0,Acute Flaccid Paralysis,10-14 years,2006,29,1
G82.0,Acute Flaccid Paralysis,5-9 years,2006,51,1
G82.0,Acute Flaccid Paralysis,5-9 years,2007,30,1
G82.0,Acute Flaccid Paralysis,5-9 years,2007,37,1
G82.0,Acute Flaccid Paralysis,5-9 years,2007,46,1
G82.0,Acute Flaccid Paralysis,1-4 years,2008,5,1
G82.0,Acute Flaccid Paralysis,5-9 years,2008,6,1
G82.0,Acute Flaccid Paralysis,10-14 years,2008,21,1
G82.0,Acute Flaccid Paralysis,1-4 years,2008,22,1
G82.0,Acute Flaccid Paralysis,1-4 years,2008,49,1
G82.0,Acute Flaccid Paralysis,<1 year,2009,25,1
G82.0,Acute Flaccid Paralysis,10-14 years,2009,26,1
G82.0,Acute Flaccid Paralysis,5-9 years,2009,26,1
G82.0,Acute Flaccid Paralysis,10-14 years,2009,33,1
G82.0,Acute Flaccid Paralysis,5-9 years,2010,10,1
G82.0,Acute Flaccid Paralysis,10-14 years,2010,19,1
G82.0,Acute Flaccid Paralysis,10-14 years,2010,33,1
G82.0,Acute Flaccid Paralysis,5-9 years,2010,46,1
G82.0,Acute Flaccid Paralysis,15-19 years,2010,50,1
G82.0,Acute Flaccid Paralysis,1-4 years,2011,4,1
G82.0,Acute Flaccid Paralysis,<1 year,2011,17,1
G82.0,Acute Flaccid Paralysis,1-4 years,2011,22,1
G82.0,Acute Flaccid Paralysis,5-9 years,2011,22,1
G82.0,Acute Flaccid Paralysis,10-14 years,2011,34,1
G82.0,Acute Flaccid Paralysis,1-4 years,2011,34,1
G82.0,Acute Flaccid Paralysis,5-9 years,2011,34,1
G82.0,Acute Flaccid Paralysis,5-9 years,2012,2,1
G82.0,Acute Flaccid Paralysis,5-9 years,2012,6,1
G82.0,Acute Flaccid Paralysis,5-9 years,2012,13,1
G82.0,Acute Flaccid Paralysis,5-9 years,2012,17,1
G82.0,Acute Flaccid Paralysis,1-4 years,2012,41,1
G82.0,Acute Flaccid Paralysis,5-9 years,2012,53,1
G82.0,Acute Flaccid Paralysis,10-14 years,2013,1,1
G82.0,Acute Flaccid Paralysis,10-14 years,2013,4,1
G82.0,Acute Flaccid Paralysis,10-14 years,2013,10,1
G82.0,Acute Flaccid Paralysis,5-9 years,2013,12,1
G82.0,Acute Flaccid Paralysis,5-9 years,2013,22,1
G82.0,Acute Flaccid Paralysis,1-4 years,2013,31,1
G82.0,Acute Flaccid Paralysis,5-9 years,2013,41,1
G82.0,Acute Flaccid Paralysis,10-14 years,2013,42,1
G82.0,Acute Flaccid Paralysis,1-4 years,2014,20,1
G82.0,Acute Flaccid Paralysis,1-4 years,2014,29,1
G82.0,Acute Flaccid Paralysis,15-19 years,2014,32,1
G82.0,Acute Flaccid Paralysis,5-9 years,2014,37,1
G82.0,Acute Flaccid Paralysis,10-14 years,2014,38,1
G82.0,Acute Flaccid Paralysis,15-19 years,2014,38,1
G82.0,Acute Flaccid Paralysis,5-9 years,2014,38,1
G82.0,Acute Flaccid Paralysis,1-4 years,2014,39,1
G82.0,Acute Flaccid Paralysis,15-19 years,2014,39,1
G82.0,Acute Flaccid Paralysis,5-9 years,2014,40,1
G82.0,Acute Flaccid Paralysis,15-19 years,2015,12,1
G82.0,Acute Flaccid Paralysis,1-4 years,2015,19,1
G82.0,Acute Flaccid Paralysis,5-9 years,2015,24,1
G82.0,Acute Flaccid Paralysis,5-9 years,2015,31,1
G82.0,Acute Flaccid Paralysis,15-19 years,2015,39,1
G82.0,Acute Flaccid Paralysis,10-14 years,2016,23,1
G82.0,Acute Flaccid Paralysis,1-4 years,2016,33,1
G82.0,Acute Flaccid Paralysis,5-9 years,2016,38,1
G82.0,Acute Flaccid Paralysis,10-14 years,2016,39,1
G82.0,Acute Flaccid Paralysis,5-9 years,2016,39,1
G82.0,Acute Flaccid Paralysis,<1 year,2017,1,1
G82.0,Acute Flaccid Paralysis,5-9 years,2017,38,1
G82.0,Acute Flaccid Paralysis,10-14 years,2018,1,1
G82.0,Acute Flaccid Paralysis,1-4 years,2018,37,1
G82.0,Acute Flaccid Paralysis,10-14 years,2018,40,1
G82.0,Acute Flaccid Paralysis,5-9 years,2018,40,1
G82.0,Acute Flaccid Paralysis,1-4 years,2018,43,1
G82.0,Acute Flaccid Paralysis,5-9 years,2018,46,1
G82.0,Acute Flaccid Paralysis,15-19 years,2018,47,1
G82.0,Acute Flaccid Paralysis,1-4 years,2019,21,1
G82.0,Acute Flaccid Paralysis,5-9 years,2019,23,1
G82.0,Acute Flaccid Paralysis,10-14 years,2019,37,1
G82.0,Acute Flaccid Paralysis,1-4 years,2019,38,1
G82.0,Acute Flaccid Paralysis,1-4 years,2019,43,1
G82.0,Acute Flaccid Paralysis,1-4 years,2019,51,1
A04.8,Aeromonas,20-24 years,2000,1,2
A04.8,Aeromonas,25-34 years,2000,1,1
A04.8,Aeromonas,5-9 years,2000,1,2
A04.8,Aeromonas,80+ years,2000,1,1
A04.8,Aeromonas,<1 year,2000,2,1
A04.8,Aeromonas,35-54 years,2000,2,1
A04.8,Aeromonas,65-79 years,2000,2,1
A04.8,Aeromonas,<1 year,2000,3,1
A04.8,Aeromonas,55-64 years,2000,3,2
A04.8,Aeromonas,10-14 years,2000,4,1
A04.8,Aeromonas,1-4 years,2000,4,1
A04.8,Aeromonas,25-34 years,2000,4,1
A04.8,Aeromonas,5-9 years,2000,4,1
A04.8,Aeromonas,<1 year,2000,5,1
A04.8,Aeromonas,1-4 years,2000,5,1
A04.8,Aeromonas,35-54 years,2000,5,1
A04.8,Aeromonas,80+ years,2000,5,2
A04.8,Aeromonas,<1 year,2000,6,1
A04.8,Aeromonas,35-54 years,2000,6,2
A04.8,Aeromonas,10-14 years,2000,7,1
A04.8,Aeromonas,1-4 years,2000,7,3
A04.8,Aeromonas,35-54 years,2000,7,2
A04.8,Aeromonas,5-9 years,2000,7,1
A04.8,Aeromonas,65-79 years,2000,7,1
A04.8,Aeromonas,<1 year,2000,8,1
A04.8,Aeromonas,25-34 years,2000,8,1
A04.8,Aeromonas,35-54 years,2000,8,1
A04.8,Aeromonas,65-79 years,2000,8,2
A04.8,Aeromonas,<1 year,2000,9,1
A04.8,Aeromonas,1-4 years,2000,9,1
A04.8,Aeromonas,35-54 years,2000,9,2
A04.8,Aeromonas,55-64 years,2000,9,2
A04.8,Aeromonas,5-9 years,2000,9,1
A04.8,Aeromonas,65-79 years,2000,9,2
A04.8,Aeromonas,<1 year,2000,10,1
A04.8,Aeromonas,10-14 years,2000,10,1
A04.8,Aeromonas,1-4 years,2000,10,1
A04.8,Aeromonas,15-19 years,2000,10,1
A04.8,Aeromonas,25-34 years,2000,10,1
A04.8,Aeromonas,35-54 years,2000,10,1
A04.8,Aeromonas,5-9 years,2000,10,2
A04.8,Aeromonas,<1 year,2000,11,2
A04.8,Aeromonas,1-4 years,2000,11,1
A04.8,Aeromonas,25-34 years,2000,11,1
A04.8,Aeromonas,35-54 years,2000,11,1
A04.8,Aeromonas,55-64 years,2000,11,1
A04.8,Aeromonas,80+ years,2000,11,1
A04.8,Aeromonas,1-4 years,2000,12,1
A04.8,Aeromonas,65-79 years,2000,12,1
A04.8,Aeromonas,35-54 years,2000,13,3
A04.8,Aeromonas,55-64 years,2000,13,2
A04.8,Aeromonas,80+ years,2000,13,1
A04.8,Aeromonas,<1 year,2000,14,1
A04.8,Aeromonas,1-4 years,2000,14,1
A04.8,Aeromonas,35-54 years,2000,14,1
A04.8,Aeromonas,65-79 years,2000,14,1
A04.8,Aeromonas,1-4 years,2000,15,2
A04.8,Aeromonas,55-64 years,2000,15,2
A04.8,Aeromonas,<1 year,2000,16,1
A04.8,Aeromonas,10-14 years,2000,16,1
A04.8,Aeromonas,1-4 years,2000,16,1
A04.8,Aeromonas,25-34 years,2000,16,1
A04.8,Aeromonas,35-54 years,2000,16,2
A04.8,Aeromonas,55-64 years,2000,16,1
A04.8,Aeromonas,65-79 years,2000,16,1
A04.8,Aeromonas,80+ years,2000,16,1
A04.8,Aeromonas,55-64 years,2000,17,1
A04.8,Aeromonas,65-79 years,2000,17,1
A04.8,Aeromonas,<1 year,2000,18,1
A04.8,Aeromonas,35-54 years,2000,18,2
A04.8,Aeromonas,65-79 years,2000,18,1
A04.8,Aeromonas,80+ years,2000,18,2
A04.8,Aeromonas,1-4 years,2000,19,1
A04.8,Aeromonas,35-54 years,2000,19,2
A04.8,Aeromonas,65-79 years,2000,19,1
A04.8,Aeromonas,15-19 years,2000,20,1
A04.8,Aeromonas,25-34 years,2000,20,1
A04.8,Aeromonas,35-54 years,2000,20,1
A04.8,Aeromonas,5-9 years,2000,20,1
A04.8,Aeromonas,65-79 years,2000,20,2
A04.8,Aeromonas,25-34 years,2000,21,1
A04.8,Aeromonas,<1 year,2000,22,1
A04.8,Aeromonas,10-14 years,2000,22,1
A04.8,Aeromonas,1-4 years,2000,22,1
A04.8,Aeromonas,15-19 years,2000,22,1
A04.8,Aeromonas,35-54 years,2000,22,1
A04.8,Aeromonas,55-64 years,2000,22,2
A04.8,Aeromonas,<1 year,2000,23,2
A04.8,Aeromonas,10-14 years,2000,23,1
A04.8,Aeromonas,1-4 years,2000,23,1
A04.8,Aeromonas,35-54 years,2000,23,4
A04.8,Aeromonas,5-9 years,2000,23,1
A04.8,Aeromonas,80+ years,2000,23,2
A04.8,Aeromonas,15-19 years,2000,24,1
A04.8,Aeromonas,20-24 years,2000,24,1
A04.8,Aeromonas,35-54 years,2000,24,1
A04.8,Aeromonas,55-64 years,2000,24,1
A04.8,Aeromonas,5-9 years,2000,24,1
A04.8,Aeromonas,65-79 years,2000,24,1
A04.8,Aeromonas,1-4 years,2000,25,1
A04.8,Aeromonas,20-24 years,2000,25,2
A04.8,Aeromonas,25-34 years,2000,25,2
A04.8,Aeromonas,35-54 years,2000,25,1
A04.8,Aeromonas,80+ years,2000,25,1
A04.8,Aeromonas,20-24 years,2000,26,1
A04.8,Aeromonas,25-34 years,2000,26,2
A04.8,Aeromonas,35-54 years,2000,26,2
A04.8,Aeromonas,65-79 years,2000,26,1
A04.8,Aeromonas,80+ years,2000,26,1
A04.8,Aeromonas,10-14 years,2000,27,1
A04.8,Aeromonas,1-4 years,2000,27,2
A04.8,Aeromonas,35-54 years,2000,27,1
A04.8,Aeromonas,10-14 years,2000,28,1
A04.8,Aeromonas,25-34 years,2000,28,1
A04.8,Aeromonas,35-54 years,2000,28,2
A04.8,Aeromonas,5-9 years,2000,28,1
A04.8,Aeromonas,65-79 years,2000,28,2
A04.8,Aeromonas,<1 year,2000,29,2
A04.8,Aeromonas,20-24 years,2000,29,2
A04.8,Aeromonas,35-54 years,2000,29,1
A04.8,Aeromonas,55-64 years,2000,29,1
A04.8,Aeromonas,1-4 years,2000,30,4
A04.8,Aeromonas,35-54 years,2000,30,2
A04.8,Aeromonas,55-64 years,2000,30,1
A04.8,Aeromonas,<1 year,2000,31,2
A04.8,Aeromonas,10-14 years,2000,31,1
A04.8,Aeromonas,1-4 years,2000,31,2
A04.8,Aeromonas,20-24 years,2000,31,1
A04.8,Aeromonas,35-54 years,2000,31,1
A04.8,Aeromonas,55-64 years,2000,31,1
A04.8,Aeromonas,<1 year,2000,32,3
A04.8,Aeromonas,1-4 years,2000,32,2
A04.8,Aeromonas,35-54 years,2000,32,5
A04.8,Aeromonas,55-64 years,2000,32,1
A04.8,Aeromonas,65-79 years,2000,32,3
A04.8,Aeromonas,80+ years,2000,32,1
A04.8,Aeromonas,<1 year,2000,33,1
A04.8,Aeromonas,10-14 years,2000,33,1
A04.8,Aeromonas,1-4 years,2000,33,2
A04.8,Aeromonas,35-54 years,2000,33,2
A04.8,Aeromonas,5-9 years,2000,33,1
