# Cases of chicken pox for Manitoba Canada; 1933-58,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
# Data extracted from Statistics Canada -  Health Statistics Division archives,,,
# Access to government databases provided by: Richard Trudeau (Health Statistics Division Chief); and Glen Gagnon (Reference Librarian) both at Statistics Canada.,,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
year,month,day,cases
1933,1,7,65
1933,1,14,34
1933,1,21,30
1933,1,28,46
1933,2,4,76
1933,2,11,51
1933,2,18,73
1933,2,25,45
1933,3,4,48
1933,3,11,38
1933,3,18,27
1933,3,25,18
1933,4,1,30
1933,4,8,18
1933,4,15,23
1933,4,22,23
1933,4,29,29
1933,5,6,38
1933,5,13,17
1933,5,20,35
1933,5,27,24
1933,6,3,50
1933,6,10,26
1933,6,17,41
1933,6,24,19
1933,7,1,96
1933,7,8,22
1933,7,15,2
1933,7,22,17
1933,7,29,5
1933,8,5,4
1933,8,12,1
1933,8,19,4
1933,8,26,5
1933,9,2,7
1933,9,9,10
1933,9,16,8
1933,9,23,4
1933,9,30,13
1933,10,7,20
1933,10,14,31
1933,10,21,56
1933,10,28,57
1933,11,4,43
1933,11,11,104
1933,11,18,78
1933,11,25,88
1933,12,2,78
1933,12,9,210
1933,12,16,66
1933,12,23,39
1933,12,30,34
1934,1,6,56
1934,1,13,58
1934,1,20,75
1934,1,27,70
1934,2,3,36
1934,2,10,50
1934,2,17,25
1934,2,24,50
1934,3,3,39
1934,3,10,31
1934,3,17,24
1934,3,24,34
1934,3,31,18
1934,4,7,19
1934,4,14,13
1934,4,21,25
1934,4,28,27
1934,5,5,44
1934,5,12,33
1934,5,19,33
1934,5,26,18
1934,6,2,41
1934,6,9,48
1934,6,16,42
1934,6,23,36
1934,6,30,32
1934,7,7,24
1934,7,14,25
1934,7,21,40
1934,7,28,24
1934,8,4,5
1934,8,11,5
1934,8,18,12
1934,8,25,3
1934,9,1,13
1934,9,8,2
1934,9,15,22
1934,9,22,13
1934,9,29,17
1934,10,6,23
1934,10,13,53
1934,10,20,60
1934,10,27,48
1934,11,3,50
1934,11,10,82
1934,11,17,86
1934,11,24,54
1934,12,1,91
1934,12,8,62
1934,12,15,76
1934,12,22,49
1934,12,29,40
1935,1,5,79
1935,1,12,47
1935,1,19,67
1935,1,26,59
1935,2,2,48
1935,2,9,22
1935,2,16,23
1935,2,23,35
1935,3,2,39
1935,3,9,62
1935,3,16,53
1935,3,23,54
1935,3,30,68
1935,4,6,40
1935,4,13,43
1935,4,20,13
1935,4,27,26
1935,5,4,40
1935,5,11,23
1935,5,18,32
1935,5,25,25
1935,6,1,20
1935,6,8,27
1935,6,15,45
1935,6,22,30
1935,6,29,53
1935,7,6,20
1935,7,13,25
1935,7,20,16
1935,7,27,21
1935,8,3,25
1935,8,10,4
1935,8,17,14
1935,8,24,5
1935,8,31,1
1935,9,7,12
1935,9,14,18
1935,9,21,28
1935,9,28,18
1935,10,5,40
1935,10,12,43
1935,10,19,40
1935,10,26,50
1935,11,2,120
1935,11,9,66
1935,11,16,113
1935,11,23,78
1935,11,30,77
1935,12,7,122
1935,12,14,105
1935,12,21,35
1935,12,28,53
1936,1,4,43
1936,1,11,63
1936,1,18,65
1936,1,25,43
1936,2,1,22
1936,2,8,18
1936,2,15,21
1936,2,22,28
1936,2,29,20
1936,3,7,19
1936,3,14,7
1936,3,21,19
1936,3,28,12
1936,4,4,20
1936,4,11,7
1936,4,18,11
1936,4,25,9
1936,5,2,33
1936,5,9,25
1936,5,16,18
1936,5,23,16
1936,5,30,19
1936,6,6,43
1936,6,13,36
1936,6,20,37
1936,6,27,17
1936,7,4,38
1936,7,11,45
1936,7,18,24
1936,7,25,8
1936,8,1,5
1936,8,8,9
1936,8,15,3
1936,8,22,2
1936,8,29,7
1936,9,5,3
1936,9,12,2
1936,9,19,11
1936,9,26,28
1936,10,3,16
1936,10,10,48
1936,10,17,32
1936,10,24,75
1936,10,31,28
1936,11,7,59
1936,11,14,44
1936,11,21,115
1936,11,28,68
1936,12,5,66
1936,12,12,54
1936,12,19,57
1936,12,26,26
1937,1,2,26
1937,1,9,54
1937,1,16,48
1937,1,23,65
1937,1,30,51
1937,2,6,51
1937,2,13,39
1937,2,20,52
1937,2,27,20
1937,3,6,21
1937,3,13,35
1937,3,20,25
1937,3,27,30
1937,4,3,23
1937,4,10,21
1937,4,17,31
1937,4,24,10
1937,5,1,22
1937,5,8,15
1937,5,15,7
1937,5,22,10
1937,5,29,14
1937,6,5,36
1937,6,12,19
1937,6,19,14
1937,6,26,21
1937,7,3,10
1937,7,10,
1937,7,17,5
1937,7,24,5
1937,7,31,8
1937,8,7,7
1937,8,14,
1937,8,21,3
1937,8,28,8
1937,9,4,5
1937,9,11,3
1937,9,18,2
1937,9,25,24
1937,10,2,15
1937,10,9,45
1937,10,16,35
1937,10,23,72
1937,10,30,51
1937,11,6,87
1937,11,13,54
1937,11,20,107
1937,11,27,99
1937,12,4,114
1937,12,11,103
1937,12,18,67
1937,12,25,65
1938,1,1,
1938,1,8,46
1938,1,15,88
1938,1,22,49
1938,1,29,57
1938,2,5,60
1938,2,12,39
1938,2,19,55
1938,2,26,46
1938,3,5,77
1938,3,12,36
1938,3,19,50
1938,3,26,55
1938,4,2,53
1938,4,9,63
1938,4,16,58
1938,4,23,30
1938,4,30,92
1938,5,7,68
1938,5,14,75
1938,5,21,87
1938,5,28,90
1938,6,4,102
1938,6,11,80
1938,6,18,175
1938,6,25,123
1938,7,2,125
1938,7,9,64
1938,7,16,65
1938,7,23,30
1938,7,30,17
1938,8,6,17
1938,8,13,4
1938,8,20,9
1938,8,27,5
1938,9,3,3
1938,9,10,12
1938,9,17,6
1938,9,24,11
1938,10,1,23
1938,10,8,18
1938,10,15,14
1938,10,22,43
1938,10,29,27
1938,11,5,45
1938,11,12,38
1938,11,19,65
1938,11,26,44
1938,12,3,40
1938,12,10,36
1938,12,17,34
1938,12,24,31
1938,12,31,14
1939,1,7,12
1939,1,14,35
1939,1,21,32
1939,1,28,28
1939,2,4,32
1939,2,11,27
1939,2,18,29
1939,2,25,31
1939,3,4,29
1939,3,11,14
1939,3,18,38
1939,3,25,10
1939,4,1,9
1939,4,8,7
1939,4,15,4
1939,4,22,9
1939,4,29,23
1939,5,6,38
1939,5,13,14
1939,5,20,12
1939,5,27,16
1939,6,3,29
1939,6,10,49
1939,6,17,46
1939,6,24,21
1939,7,1,37
1939,7,8,23
1939,7,15,41
1939,7,22,15
1939,7,29,16
1939,8,5,10
1939,8,12,5
1939,8,19,17
1939,8,26,1
1939,9,2,3
1939,9,9,5
1939,9,16,4
1939,9,23,4
1939,9,30,13
1939,10,7,7
1939,10,14,14
1939,10,21,40
1939,10,28,42
1939,11,4,54
1939,11,11,36
1939,11,18,53
1939,11,25,53
1939,12,2,86
1939,12,9,67
1939,12,16,64
1939,12,23,73
1939,12,30,88
1940,1,6,36
1940,1,13,80
1940,1,20,38
1940,1,27,92
1940,2,3,33
1940,2,10,45
1940,2,17,39
1940,2,24,56
1940,3,2,58
1940,3,9,21
1940,3,16,42
1940,3,23,37
1940,3,30,30
