# Weekly cases of measles in London England; 1944-94,,,
# This worksheet was created from the original file measles.cases; which apparently has the same information as ewcit.dat,,,
# Source: data provided by Benjamin Bolker; Princeton University,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
# The first publication that made use of this data file was: D. J. D. Earn; P. Rohani; B. M. Bolker; B. T. Grenfell (2000) 'A simple model for complex dynamical transitions in epidemics' Science 287(5453): 667-670,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
year,month,day,cases
1944,1,7,82
1944,1,14,98
1944,1,21,118
1944,1,28,153
1944,2,4,206
1944,2,11,217
1944,2,18,226
1944,2,25,239
1944,3,3,279
1944,3,10,244
1944,3,17,286
1944,3,24,363
1944,3,31,300
1944,4,7,324
1944,4,14,273
1944,4,21,283
1944,4,28,207
1944,5,5,213
1944,5,12,210
1944,5,19,213
1944,5,26,217
1944,6,2,271
1944,6,9,242
1944,6,16,199
1944,6,23,139
1944,6,30,129
1944,7,7,130
1944,7,14,130
1944,7,21,90
1944,7,28,73
1944,8,4,47
1944,8,11,36
1944,8,18,39
1944,8,25,21
1944,9,1,27
1944,9,8,14
1944,9,15,29
1944,9,22,19
1944,9,29,27
1944,10,6,38
1944,10,13,28
1944,10,20,54
1944,10,27,65
1944,11,3,80
1944,11,10,57
1944,11,17,65
1944,11,24,110
1944,12,1,84
1944,12,8,123
1944,12,15,114
1944,12,22,163
1944,12,31,155
1945,1,7,240
1945,1,14,210
1945,1,21,290
1945,1,28,381
1945,2,4,573
1945,2,11,814
1945,2,18,640
1945,2,25,977
1945,3,4,986
1945,3,11,1072
1945,3,18,1498
1945,3,25,1601
1945,4,1,1652
1945,4,8,1688
1945,4,15,1651
1945,4,22,1314
1945,4,29,1058
1945,5,6,815
1945,5,13,822
1945,5,20,819
1945,5,27,614
1945,6,3,508
1945,6,10,472
1945,6,17,412
1945,6,24,342
1945,7,1,249
1945,7,8,220
1945,7,15,207
1945,7,22,153
1945,7,29,129
1945,8,5,113
1945,8,12,61
1945,8,19,66
1945,8,26,61
1945,9,2,48
1945,9,9,36
1945,9,16,46
1945,9,23,51
1945,9,30,35
1945,10,7,33
1945,10,14,48
1945,10,21,40
1945,10,28,47
1945,11,4,32
1945,11,11,23
1945,11,18,35
1945,11,25,42
1945,12,2,43
1945,12,9,33
1945,12,16,42
1945,12,23,52
1945,12,31,69
1946,1,7,88
1946,1,14,86
1946,1,21,109
1946,1,28,100
1946,2,4,221
1946,2,11,237
1946,2,18,353
1946,2,25,389
1946,3,4,372
1946,3,11,557
1946,3,18,430
1946,3,25,597
1946,4,1,675
1946,4,8,736
1946,4,15,950
1946,4,22,935
1946,4,29,1054
1946,5,6,1056
1946,5,13,928
1946,5,20,836
1946,5,27,1034
1946,6,3,967
1946,6,10,1073
1946,6,17,1081
1946,6,24,977
1946,7,1,866
1946,7,8,797
1946,7,15,630
1946,7,22,492
1946,7,29,478
1946,8,5,376
1946,8,12,350
1946,8,19,255
1946,8,26,161
1946,9,2,125
1946,9,9,93
1946,9,16,78
1946,9,23,82
1946,9,30,69
1946,10,7,91
1946,10,14,72
1946,10,21,116
1946,10,28,105
1946,11,4,119
1946,11,11,157
1946,11,18,141
1946,11,25,215
1946,12,2,221
1946,12,9,239
1946,12,16,243
1946,12,23,239
1946,12,31,229
1947,1,6,359
1947,1,13,291
1947,1,20,378
1947,1,27,418
1947,2,3,482
1947,2,10,583
1947,2,17,597
1947,2,24,644
1947,3,2,656
1947,3,9,574
1947,3,16,499
1947,3,23,513
1947,3,30,541
1947,4,6,440
1947,4,13,525
1947,4,20,490
1947,4,27,408
1947,5,3,363
1947,5,10,499
1947,5,17,532
1947,5,24,548
1947,5,31,545
1947,6,7,681
1947,6,14,515
1947,6,21,637
1947,6,28,439
1947,7,4,556
1947,7,11,473
1947,7,18,455
1947,7,25,373
1947,8,1,366
1947,8,8,303
1947,8,15,229
1947,8,22,143
1947,8,29,110
1947,9,4,61
1947,9,11,36
1947,9,18,48
1947,9,25,39
1947,10,2,32
1947,10,9,50
1947,10,16,63
1947,10,23,41
1947,10,30,67
1947,11,5,72
1947,11,12,116
1947,11,19,120
1947,11,26,121
1947,12,3,149
1947,12,10,156
1947,12,17,133
1947,12,24,115
1947,12,31,251
1948,1,7,226
1948,1,14,240
1948,1,21,284
1948,1,28,340
1948,2,4,511
1948,2,11,649
1948,2,18,766
1948,2,25,932
1948,3,3,1303
1948,3,10,1257
1948,3,17,1716
1948,3,24,1425
1948,3,31,1719
1948,4,7,1809
1948,4,14,1360
1948,4,21,1147
1948,4,28,1101
1948,5,5,936
1948,5,12,1040
1948,5,19,994
1948,5,26,1134
1948,6,2,818
1948,6,9,1083
1948,6,16,755
1948,6,23,880
1948,6,30,680
1948,7,7,585
1948,7,14,602
1948,7,21,552
1948,7,28,457
1948,8,4,430
1948,8,11,287
1948,8,18,189
1948,8,25,149
1948,9,1,120
1948,9,8,88
1948,9,15,83
1948,9,22,91
1948,9,29,94
1948,10,6,79
1948,10,13,78
1948,10,20,86
1948,10,27,119
1948,11,3,123
1948,11,10,108
1948,11,17,135
1948,11,24,127
1948,12,1,157
1948,12,8,176
1948,12,15,180
1948,12,22,110
1948,12,31,294
1949,1,7,318
1949,1,14,320
1949,1,21,357
1949,1,28,487
1949,2,4,496
1949,2,11,809
1949,2,18,777
1949,2,25,831
1949,3,4,1081
