# Cases of measles in Baltimore; USA; 1928-72,,
# Source: J. A. Yorke and W. P. London (1973) 'Recurrent outbreaks of measles; chickenpox and mumps. II. Systematic differences in contact rates and stochastic effects' American Journal of Epidemilogy 98(6): 469-482,,
# Yorke and London obtained these data from the New York City Department of Health Bureau of Infectious Disease Control and the Baltimore City Health Department.,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,
# The first publication that made use of this data file was: D. J. D. Earn; P. Rohani; B. M. Bolker; B. T. Grenfell (2000) 'A simple model for complex dynamical transitions in epidemics' Science 287(5453): 667-670,,
# See the IIDDA website for a list of all papers that have used this data file.,,
year,month,cases
1928,1,1158
1928,2,2371
1928,3,3752
1928,4,2746
1928,5,1792
1928,6,320
1928,7,45
1928,8,10
1928,9,5
1928,10,4
1928,11,10
1928,12,16
1929,1,12
1929,2,10
1929,3,15
1929,4,17
1929,5,16
1929,6,21
1929,7,9
1929,8,2
1929,9,4
1929,10,6
1929,11,23
1929,12,10
1930,1,12
1930,2,21
1930,3,21
1930,4,92
1930,5,146
1930,6,52
1930,7,17
1930,8,5
1930,9,6
1930,10,3
1930,11,13
1930,12,63
1931,1,708
1931,2,1633
1931,3,4058
1931,4,4537
1931,5,2973
1931,6,963
1931,7,102
1931,8,11
1931,9,8
1931,10,5
1931,11,7
1931,12,14
1932,1,11
1932,2,9
1932,3,18
1932,4,24
1932,5,23
1932,6,29
1932,7,9
1932,8,10
1932,9,6
1932,10,3
1932,11,8
1932,12,15
1933,1,12
1933,2,8
1933,3,14
1933,4,16
1933,5,28
1933,6,9
1933,7,8
1933,8,5
1933,9,1
1933,10,7
1933,11,7
1933,12,13
1934,1,95
1934,2,916
1934,3,3002
1934,4,6018
1934,5,6872
1934,6,1516
1934,7,140
1934,8,9
1934,9,6
1934,10,6
1934,11,24
1934,12,8
1935,1,28
1935,2,46
1935,3,78
1935,4,110
1935,5,151
1935,6,81
1935,7,10
1935,8,3
1935,9,3
1935,10,5
1935,11,7
1935,12,11
1936,1,41
1936,2,98
1936,3,299
1936,4,720
