# Weekly All Cause, Pneumonia, and Influenza Mortality for London, United Kingdom from 1842-1950.
# This spreadsheet was created 28 March 2011 by Kelly Hancock.
# From the 13th week of 1902 until the end of 1910 ""pneumonia"" becomes a summation of lobar, broncho, epidemic and not defined.
# From 1910 until 1940 ""pneumonia"" becomes a summation of broncho pneumonia, lobar pneumonia, and pneumonia type not distinguished.
# From 1940 on pneumonia is entered as pneumonia all forms and no longer requires summation.
year.from,month.from,day.from,year.to,month.to,day.to,week.number,numdate,death.all.causes.all.ages,influenza,pneumonia,,,,
1842,1,2,1842,1,8,1,1842.02191780822,971,2,84,,,,
1842,1,8,1842,1,15,2,1842.04109589041,1041,0,115,,,,
1842,1,15,1842,1,22,3,1842.0602739726,1110,1,134,,,,
1842,1,22,1842,1,29,4,1842.07945205479,1116,2,115,,,,
1842,1,29,1842,2,5,5,1842.09863013699,1025,2,123,,,,
1842,2,5,1842,2,12,6,1842.11780821918,1042,6,94,,,,
1842,2,12,1842,2,19,7,1842.13698630137,905,4,94,,,,
1842,2,19,1842,2,26,8,1842.15616438356,941,4,104,,,,
1842,2,26,1842,3,5,9,1842.17534246575,956,4,102,,,,
1842,3,5,1842,3,12,10,1842.19452054795,887,2,88,,,,
1842,3,12,1842,3,19,11,1842.21369863014,792,0,85,,,,
1842,3,19,1842,3,26,12,1842.23287671233,770,1,74,,,,
1842,3,26,1842,4,2,13,1842.25205479452,831,3,58,,,,
1842,4,2,1842,4,9,14,1842.27123287671,789,3,84,,,,
1842,4,9,1842,4,16,15,1842.2904109589,815,1,79,,,,
1842,4,16,1842,4,23,16,1842.3095890411,807,2,67,,,,
1842,4,23,1842,4,30,17,1842.32876712329,778,1,67,,,,
1842,4,30,1842,5,7,18,1842.34794520548,755,2,45,,,,
1842,5,7,1842,5,14,19,1842.36712328767,771,1,57,,,,
1842,5,14,1842,5,21,20,1842.38630136986,803,0,48,,,,
1842,5,21,1842,5,28,21,1842.40547945205,830,3,55,,,,
1842,5,28,1842,6,4,22,1842.42465753425,759,3,51,,,,
1842,6,4,1842,6,11,23,1842.44383561644,844,0,45,,,,
1842,6,11,1842,6,18,24,1842.46301369863,751,0,44,,,,
1842,6,18,1842,6,25,25,1842.48219178082,739,1,58,,,,
1842,6,25,1842,7,2,26,1842.50136986301,751,2,36,,,,
1842,7,2,1842,7,9,27,1842.52054794521,744,2,53,,,,
1842,7,9,1842,7,16,28,1842.5397260274,785,1,34,,,,
1842,7,16,1842,7,23,29,1842.55890410959,744,2,41,,,,
1842,7,23,1842,7,30,30,1842.57808219178,881,1,40,,,,
1842,7,30,1842,8,6,31,1842.59726027397,890,1,53,,,,
1842,8,6,1842,8,13,32,1842.61643835616,874,0,47,,,,
1842,8,13,1842,8,20,33,1842.63561643836,958,3,57,,,,
1842,8,20,1842,8,27,34,1842.65479452055,894,1,42,,,,
1842,8,27,1842,9,3,35,1842.67397260274,827,0,34,,,,
1842,9,3,1842,9,10,36,1842.69315068493,862,0,43,,,,
1842,9,10,1842,9,17,37,1842.71232876712,863,1,48,,,,
1842,9,17,1842,9,24,38,1842.73150684932,766,1,53,,,,
1842,9,24,1842,10,1,39,1842.75068493151,924,0,75,,,,
1842,10,1,1842,10,8,40,1842.7698630137,848,0,65,,,,
1842,10,8,1842,10,15,41,1842.78904109589,823,0,78,,,,
1842,10,15,1842,10,22,42,1842.80821917808,864,1,92,,,,
1842,10,22,1842,10,29,43,1842.82739726027,966,0,131,,,,
1842,10,29,1842,11,5,44,1842.84657534247,955,1,133,,,,
1842,11,5,1842,11,12,45,1842.86575342466,930,2,143,,,,
1842,11,12,1842,11,19,46,1842.88493150685,886,4,103,,,,
1842,11,19,1842,11,26,47,1842.90410958904,852,1,82,,,,
1842,11,26,1842,12,3,48,1842.92328767123,882,2,101,,,,
1842,12,3,1842,12,10,49,1842.94246575342,813,0,93,,,,
1842,12,10,1842,12,17,50,1842.96164383562,963,1,109,,,,
1842,12,17,1842,12,24,51,1842.98082191781,830,0,84,,,,
1842,12,24,1842,12,31,52,1843,997,3,83,,,,
1842,12,31,1843,1,7,1,1843.01917808219,869,1,94,,,,
1843,1,7,1843,1,14,2,1843.03835616438,952,0,115,,,,
1843,1,14,1843,1,21,3,1843.05753424658,959,1,77,,,,
1843,1,21,1843,1,28,4,1843.07671232877,973,0,81,,,,
1843,1,28,1843,2,4,5,1843.09589041096,779,1,70,,,,
1843,2,4,1843,2,11,6,1843.11506849315,863,2,80,,,,
1843,2,11,1843,2,18,7,1843.13424657534,866,4,61,,,,
1843,2,18,1843,2,25,8,1843.15342465753,1003,3,89,,,,
1843,2,25,1843,3,4,9,1843.17260273973,1020,3,82,,,,
1843,3,4,1843,3,11,10,1843.19178082192,1039,1,115,,,,
1843,3,11,1843,3,18,11,1843.21095890411,991,3,101,,,,
1843,3,18,1843,3,25,12,1843.2301369863,982,6,85,,,,
1843,3,25,1843,4,1,13,1843.24931506849,945,2,94,,,,
1843,4,1,1843,4,8,14,1843.26849315068,854,1,68,,,,
1843,4,8,1843,4,15,15,1843.28767123288,815,3,79,,,,
1843,4,15,1843,4,22,16,1843.30684931507,953,1,78,,,,
1843,4,22,1843,4,29,17,1843.32602739726,890,1,67,,,,
1843,4,29,1843,5,6,18,1843.34520547945,873,1,72,,,,
1843,5,6,1843,5,13,19,1843.36438356164,881,0,66,,,,
1843,5,13,1843,5,20,20,1843.38356164384,869,2,56,,,,
1843,5,20,1843,5,27,21,1843.40273972603,855,0,40,,,,
1843,5,27,1843,6,3,22,1843.42191780822,868,0,62,,,,
1843,6,3,1843,6,10,23,1843.44109589041,847,1,53,,,,
1843,6,10,1843,6,17,24,1843.4602739726,952,5,62,,,,
1843,6,17,1843,6,24,25,1843.47945205479,884,3,74,,,,
1843,6,24,1843,7,1,26,1843.49863013699,847,3,50,,,,
1843,7,1,1843,7,8,27,1843.51780821918,811,4,61,,,,
1843,7,8,1843,7,15,28,1843.53698630137,755,3,45,,,,
1843,7,15,1843,7,22,29,1843.55616438356,788,1,57,,,,
1843,7,22,1843,7,29,30,1843.57534246575,749,1,35,,,,
1843,7,29,1843,8,5,31,1843.59452054795,814,1,34,,,,
1843,8,5,1843,8,12,32,1843.61369863014,799,3,35,,,,
1843,8,12,1843,8,19,33,1843.63287671233,795,1,34,,,,
1843,8,19,1843,8,26,34,1843.65205479452,840,0,36,,,,
1843,8,26,1843,9,2,35,1843.67123287671,907,1,44,,,,
1843,9,2,1843,9,9,36,1843.6904109589,878,1,34,,,,
1843,9,9,1843,9,16,37,1843.7095890411,915,0,32,,,,
1843,9,16,1843,9,23,38,1843.72876712329,981,1,42,,,,
1843,9,23,1843,9,30,39,1843.74794520548,1042,0,50,,,,
1843,9,30,1843,10,7,40,1843.76712328767,1054,1,67,,,,
1843,10,7,1843,10,14,41,1843.78630136986,948,1,80,,,,
1843,10,14,1843,10,21,42,1843.80547945205,1095,1,100,,,,
1843,10,21,1843,10,28,43,1843.82465753425,1096,2,145,,,,
1843,10,28,1843,11,4,44,1843.84383561644,1050,6,140,,,,
1843,11,4,1843,11,11,45,1843.86301369863,1016,3,150,,,,
1843,11,11,1843,11,18,46,1843.88219178082,1230,4,199,,,,
1843,11,18,1843,11,25,47,1843.90136986301,1188,8,172,,,,
1843,11,25,1843,12,2,48,1843.92054794521,1087,1,171,,,,
1843,12,2,1843,12,9,49,1843.9397260274,983,5,152,,,,
1843,12,9,1843,12,16,50,1843.95890410959,962,1,108,,,,
1843,12,16,1843,12,23,51,1843.97808219178,951,2,131,,,,
1843,12,23,1843,12,30,52,1843.99726027397,991,4,99,,,,
1843,12,30,1844,1,6,1,1844.01643835616,919,8,95,,,,
1844,1,6,1844,1,13,2,1844.03561643836,929,3,110,,,,
1844,1,13,1844,1,20,3,1844.05479452055,1040,3,113,,,,
1844,1,20,1844,1,27,4,1844.07397260274,1009,4,109,,,,
1844,1,27,1844,2,3,5,1844.09315068493,1082,1,106,,,,
1844,2,3,1844,2,10,6,1844.11232876712,1076,5,111,,,,
1844,2,10,1844,2,17,7,1844.13150684931,1146,9,133,,,,
1844,2,17,1844,2,24,8,1844.15068493151,1113,4,111,,,,
