# Population of Liverpool; 1944-94,
# From: Bryan T. Grenfell <bryan@zoo.cam.ac.uk>,
# Date: Wed, 11 Nov 1998 17:27:38 +0000 (GMT),
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,
# The first publication that made use of this data file was: D. J. D. Earn; P. Rohani; B. M. Bolker; B. T. Grenfell (2000) 'A simple model for complex dynamical transitions in epidemics' Science 287(5453): 667-670,
# See the IIDDA website for a list of all papers that have used this data file.,
year,population
1944,666230
1945,681120
1946,734620
1947,765300
1948,791800
1949,800800
1950,802300
1951,784800
1952,790000
1953,789700
1954,786100
1955,779900
1956,773700
1957,768700
1958,762400
1959,757500
1960,754670
1961,745810
1962,745230
1963,739740
1964,729140
1965,722010
1966,712040
1967,705310
1968,688010
1969,677450
1970,667000
1971,603210
1972,588600
1973,574560
1974,561100
1975,548800
1976,539700
1977,536900
1978,528000
1979,520200
1980,513500
1981,518900
1982,510700
1983,502500
1984,497200
1985,491500
1986,483000
1987,476300
1988,469600
1989,465900
1990,462900
1991,474500
1992,479000
1993,479000
1994,479000
