# Population in Baltimore; 1928-63,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,
# The first publication that made use of this data file was: D. J. D. Earn; P. Rohani; B. M. Bolker; B. T. Grenfell (2000) 'A simple model for complex dynamical transitions in epidemics' Science 287(5453): 667-670,,
# See the IIDDA website for a list of all papers that have used this data file.,,
year,month,pop.size
1928,1,809338
1928,2,808532.833
1928,3,807727.667
1928,4,806922.5
1928,5,806117.333
1928,6,805312.167
1928,7,804507
1928,8,803701.833
1928,9,802896.667
1928,10,802091.5
1928,11,801286.333
1928,12,800481.167
1929,1,799676
1929,2,800109.167
1929,3,800542.333
1929,4,800975.5
1929,5,801408.667
1929,6,801841.833
1929,7,802275
1929,8,802708.167
1929,9,803141.333
1929,10,803574.5
1929,11,804007.667
1929,12,804440.833
1930,1,804874
1930,2,805592.833
1930,3,806311.667
1930,4,807030.5
1930,5,807749.333
1930,6,808468.167
1930,7,809187
1930,8,809905.833
1930,9,810624.667
1930,10,811343.5
1930,11,812062.333
1930,12,812781.167
1931,1,813500
1931,2,813491.667
1931,3,813483.333
1931,4,813475
1931,5,813466.667
1931,6,813458.333
1931,7,813450
1931,8,813441.667
1931,9,813433.333
1931,10,813425
1931,11,813416.667
1931,12,813408.333
1932,1,813400
1932,2,813708.333
1932,3,814016.667
1932,4,814325
1932,5,814633.333
1932,6,814941.667
1932,7,815250
1932,8,815558.333
1932,9,815866.667
1932,10,816175
1932,11,816483.333
1932,12,816791.667
1933,1,817100
1933,2,817537.5
1933,3,817975
1933,4,818412.5
1933,5,818850
1933,6,819287.5
1933,7,819725
1933,8,820162.5
1933,9,820600
1933,10,821037.5
1933,11,821475
1933,12,821912.5
1934,1,822350
1934,2,822787.5
1934,3,823225
1934,4,823662.5
1934,5,824100
1934,6,824537.5
1934,7,824975
1934,8,825412.5
1934,9,825850
1934,10,826287.5
1934,11,826725
1934,12,827162.5
1935,1,827600
1935,2,828037.5
1935,3,828475
1935,4,828912.5
1935,5,829350
1935,6,829787.5
1935,7,830225
1935,8,830662.5
1935,9,831100
1935,10,831537.5
1935,11,831975
1935,12,832412.5
1936,1,832850
1936,2,833287.5
1936,3,833725
1936,4,834162.5
1936,5,834600
1936,6,835037.5
1936,7,835475
1936,8,835912.5
1936,9,836350
1936,10,836787.5
1936,11,837225
1936,12,837662.5
1937,1,838100
1937,2,838537.5
1937,3,838975
1937,4,839412.5
1937,5,839850
1937,6,840287.5
1937,7,840725
1937,8,841162.5
1937,9,841600
1937,10,842037.5
1937,11,842475
1937,12,842912.5
1938,1,843350
1938,2,843787.5
1938,3,844225
1938,4,844662.5
1938,5,845100
1938,6,845537.5
1938,7,845975
1938,8,846412.5
1938,9,846850
1938,10,847287.5
1938,11,847725
1938,12,848162.5
1939,1,848600
1939,2,849037.5
1939,3,849475
1939,4,849912.5
1939,5,850350
1939,6,850787.5
1939,7,851225
1939,8,851662.5
1939,9,852100
1939,10,852537.5
1939,11,852975
1939,12,853412.5
1940,1,853850
1940,2,854287.5
1940,3,854725
1940,4,855162.5
1940,5,855600
1940,6,856037.5
1940,7,856475
1940,8,856912.5
1940,9,857350
1940,10,857787.5
1940,11,858225
1940,12,858662.5
1941,1,859100
1941,2,859938.963
1941,3,860777.926
1941,4,861616.889
1941,5,862455.852
1941,6,863294.815
1941,7,864133.778
1941,8,864972.741
1941,9,865811.704
1941,10,866650.667
1941,11,867489.63
1941,12,868328.593
1942,1,869167.556
1942,2,870006.519
1942,3,870845.482
1942,4,871684.445
1942,5,872523.408
1942,6,873362.371
1942,7,874201.333
1942,8,875040.296
1942,9,875879.259
1942,10,876718.222
1942,11,877557.185
1942,12,878396.148
1943,1,879235.111
1943,2,880074.074
1943,3,880913.037
1943,4,881752
1943,5,882590.963
1943,6,883429.926
1943,7,884268.889
1943,8,885107.852
1943,9,885946.815
1943,10,886785.778
1943,11,887624.741
1943,12,888463.704
1944,1,889302.667
1944,2,890141.63
1944,3,890980.593
1944,4,891819.556
1944,5,892658.519
1944,6,893497.482
1944,7,894336.444
1944,8,895175.407
1944,9,896014.37
1944,10,896853.333
1944,11,897692.296
1944,12,898531.259
1945,1,899370.222
1945,2,900209.185
1945,3,901048.148
1945,4,901887.111
1945,5,902726.074
1945,6,903565.037
1945,7,904404
1945,8,905242.963
1945,9,906081.926
1945,10,906920.889
1945,11,907759.852
1945,12,908598.815
1946,1,909437.778
1946,2,910276.741
1946,3,911115.704
1946,4,911954.667
1946,5,912793.63
1946,6,913632.593
1946,7,914471.556
1946,8,915310.518
1946,9,916149.481
1946,10,916988.444
1946,11,917827.407
1946,12,918666.37
1947,1,919505.333
1947,2,920344.296
1947,3,921183.259
1947,4,922022.222
1947,5,922861.185
1947,6,923700.148
1947,7,924539.111
1947,8,925378.074
1947,9,926217.037
1947,10,927056
1947,11,927894.963
1947,12,928733.926
1948,1,929572.889
1948,2,930411.852
1948,3,931250.815
1948,4,932089.778
1948,5,932928.741
1948,6,933767.704
1948,7,934606.667
1948,8,935445.629
1948,9,936284.592
1948,10,937123.555
1948,11,937962.518
1948,12,938801.481
1949,1,939640.444
1949,2,940479.407
1949,3,941318.37
1949,4,942157.333
1949,5,942996.296
1949,6,943835.259
1949,7,944674.222
1949,8,945513.185
1949,9,946352.148
1949,10,947191.111
1949,11,948030.074
1949,12,948869.037
1950,1,949708
1950,2,949618.967
1950,3,949529.933
1950,4,949440.9
1950,5,949351.867
1950,6,949262.833
1950,7,949173.8
1950,8,949084.767
1950,9,948995.733
1950,10,948906.7
1950,11,948817.667
1950,12,948728.633
1951,1,948639.6
1951,2,948550.567
1951,3,948461.533
1951,4,948372.5
1951,5,948283.467
1951,6,948194.433
1951,7,948105.4
