# Cases of whooping cough in Ontario Canada; 1904-89,,
# We are missing monthly data for 1913; and 1978-81.,,
# Weeks missing: december 1974 whooping cough data for third and fourth week; instead we added the entires for the first and second week and took that as the total number of cases for december (underestimated of course),,
# Used in paper 'Bauch and Earn 2003' and since that time has been updated to fill in some holes in the dataset,,
# 1970 filled by data provided by Angie Fazzone who helped by finding data in the Ontario Ministry of Health archives,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,
# See the IIDDA website for a list of all papers that have used this data file.,,
year,month,cases
1904,1,18
1904,2,16
1904,3,6
1904,4,26
1904,5,4
1904,6,46
1904,7,25
1904,8,19
1904,9,31
1904,10,20
1904,11,23
1904,12,45
1905,1,27
1905,2,22
1905,3,54
1905,4,45
1905,5,89
1905,6,40
1905,7,80
1905,8,141
1905,9,97
1905,10,36
1905,11,85
1905,12,35
1906,1,76
1906,2,143
1906,3,68
1906,4,92
1906,5,205
1906,6,105
1906,7,55
1906,8,119
1906,9,96
1906,10,83
1906,11,21
1906,12,13
1907,1,133
1907,2,34
1907,3,87
1907,4,27
1907,5,49
1907,6,78
1907,7,104
1907,8,77
1907,9,79
1907,10,56
1907,11,34
1907,12,37
1908,1,73
1908,2,30
1908,3,54
1908,4,27
1908,5,28
1908,6,57
1908,7,40
1908,8,96
1908,9,135
1908,10,51
1908,11,87
1908,12,76
1909,1,83
1909,2,125
1909,3,48
1909,4,74
1909,5,68
1909,6,29
1909,7,46
1909,8,73
1909,9,47
1909,10,62
1909,11,27
1909,12,50
1910,1,45
1910,2,72
1910,3,24
1910,4,119
1910,5,39
1910,6,53
1910,7,25
1910,8,20
1910,9,14
1910,10,11
1910,11,23
1910,12,28
1911,1,20
1911,2,19
1911,3,22
1911,4,25
1911,5,42
1911,6,29
1911,7,35
1911,8,40
1911,9,31
1911,10,35
1911,11,28
1911,12,5
1912,1,110
1912,2,44
1912,3,183
1912,4,110
1912,5,94
1912,6,193
1912,7,42
1912,8,348
1912,9,109
1912,10,34
1912,11,44
1912,12,103
1913,1,
1913,2,
1913,3,
1913,4,
1913,5,
1913,6,
1913,7,
1913,8,
1913,9,
1913,10,
1913,11,
1913,12,
1914,1,89
1914,2,63
1914,3,47
1914,4,180
1914,5,96
1914,6,108
1914,7,34
1914,8,52
1914,9,34
1914,10,20
1914,11,42
1914,12,33
1915,1,20
1915,2,67
1915,3,60
1915,4,80
1915,5,39
1915,6,65
1915,7,133
1915,8,104
1915,9,104
1915,10,61
1915,11,38
1915,12,111
1916,1,136
1916,2,268
1916,3,283
1916,4,140
1916,5,160
1916,6,135
1916,7,179
1916,8,190
1916,9,181
1916,10,253
1916,11,91
1916,12,189
1917,1,165
1917,2,94
1917,3,112
1917,4,76
1917,5,88
1917,6,56
1917,7,101
1917,8,209
1917,9,172
1917,10,98
1917,11,142
1917,12,357
1918,1,367
1918,2,168
1918,3,286
1918,4,240
1918,5,251
1918,6,277
1918,7,169
1918,8,246
1918,9,179
1918,10,72
1918,11,60
1918,12,57
1919,1,56
1919,2,41
1919,3,69
1919,4,48
1919,5,46
1919,6,63
1919,7,80
1919,8,112
1919,9,141
1919,10,166
1919,11,127
1919,12,214
1920,1,162
1920,2,168
1920,3,136
1920,4,135
1920,5,99
1920,6,151
1920,7,106
1920,8,178
1920,9,177
1920,10,218
1920,11,177
1920,12,335
1921,1,396
1921,2,257
1921,3,237
1921,4,165
1921,5,228
1921,6,194
1921,7,227
1921,8,151
1921,9,150
1921,10,129
1921,11,78
1921,12,95
1922,1,89
1922,2,158
1922,3,61
1922,4,69
1922,5,119
1922,6,65
1922,7,79
1922,8,163
1922,9,196
1922,10,149
1922,11,309
1922,12,234
1923,1,376
1923,2,402
1923,3,432
1923,4,286
1923,5,142
1923,6,199
1923,7,208
1923,8,197
1923,9,230
1923,10,185
1923,11,369
1923,12,179
1924,1,181
1924,2,202
1924,3,140
1924,4,140
1924,5,141
1924,6,104
1924,7,109
1924,8,300
1924,9,225
1924,10,174
1924,11,488
1924,12,279
1925,1,480
1925,2,427
1925,3,464
1925,4,352
1925,5,400
1925,6,269
1925,7,345
1925,8,305
1925,9,295
1925,10,247
1925,11,130
1925,12,113
1926,1,240
1926,2,420
1926,3,310
1926,4,255
1926,5,321
1926,6,290
1926,7,324
1926,8,256
1926,9,232
1926,10,304
1926,11,312
1926,12,410
1927,1,553
1927,2,267
1927,3,227
1927,4,257
1927,5,180
1927,6,143
1927,7,310
1927,8,297
