Year,Disease,Number of reported cases,"Rate per 100,000"
1924,Amoebiasis,,
1925,Amoebiasis,,
1926,Amoebiasis,,
1927,Amoebiasis,4,0.27
1928,Amoebiasis,,
1929,Amoebiasis,,
1930,Amoebiasis,15,2.22
1931,Amoebiasis,0,0
1932,Amoebiasis,0,0
1933,Amoebiasis,3,0.05
1934,Amoebiasis,10,0.11
1935,Amoebiasis,0,0
1936,Amoebiasis,4,0.05
1937,Amoebiasis,2,0.03
1938,Amoebiasis,0,0
1939,Amoebiasis,6,0.06
1940,Amoebiasis,2,0.02
1941,Amoebiasis,22,0.2
1942,Amoebiasis,1,0.01
1943,Amoebiasis,12,0.15
1944,Amoebiasis,0,0
1945,Amoebiasis,13,0.16
1946,Amoebiasis,88,1.09
1947,Amoebiasis,100,1.21
1948,Amoebiasis,40,0.33
1949,Amoebiasis,17,0.14
1950,Amoebiasis,11,0.09
1951,Amoebiasis,38,0.28
1952,Amoebiasis,19,0.14
1953,Amoebiasis,32,0.22
1954,Amoebiasis,5,0.05
1955,Amoebiasis,3,0.03
1956,Amoebiasis,2,0.02
1957,Amoebiasis,6,0.04
1958,Amoebiasis,10,0.06
1959,Amoebiasis,2,0.01
1960,Amoebiasis,4,0.02
1961,Amoebiasis,9,0.05
1962,Amoebiasis,6,0.03
1963,Amoebiasis,11,0.06
1964,Amoebiasis,50,0.26
1965,Amoebiasis,51,0.26
1966,Amoebiasis,47,0.23
1967,Amoebiasis,43,0.21
1968,Amoebiasis,24,0.12
1969,Amoebiasis,73,0.35
1970,Amoebiasis,118,0.56
1971,Amoebiasis,134,0.61
1972,Amoebiasis,253,1.14
1973,Amoebiasis,491,2.18
1974,Amoebiasis,584,2.56
1975,Amoebiasis,650,2.81
1976,Amoebiasis,870,3.71
1977,Amoebiasis,778,3.28
1978,Amoebiasis,819,3.42
1979,Amoebiasis,17,0.07
1980,Amoebiasis,0,0
1981,Amoebiasis,0,0
1982,Amoebiasis,0,0
1983,Amoebiasis,1332,5.25
1984,Amoebiasis,1489,5.81
1985,Amoebiasis,1676,6.49
1986,Amoebiasis,1579,6.05
1987,Amoebiasis,1879,7.1
1988,Amoebiasis,1989,7.42
1989,Amoebiasis,2335,8.56
1990,Amoebiasis,1944,7.02
1991,Amoebiasis,1770,6.31
1992,Amoebiasis,1621,5.71
1993,Amoebiasis,1735,6.05
1994,Amoebiasis,1697,5.85
1995,Amoebiasis,1610,5.49
1996,Amoebiasis,1642,5.55
1997,Amoebiasis,1772,5.93
1998,Amoebiasis,1575,5.22
1999,Amoebiasis,1364,4.49
2000,Amoebiasis,,
2001,Amoebiasis,,
2002,Amoebiasis,,
2003,Amoebiasis,,
2004,Amoebiasis,,
2005,Amoebiasis,,
2006,Amoebiasis,,
2007,Amoebiasis,,
2008,Amoebiasis,,
2009,Amoebiasis,,
2010,Amoebiasis,,
2011,Amoebiasis,,
2012,Amoebiasis,,
2013,Amoebiasis,,
2014,Amoebiasis,,
2015,Amoebiasis,,
2016,Amoebiasis,,
2017,Amoebiasis,,
2018,Amoebiasis,,
2019,Amoebiasis,,
2020,Amoebiasis,,
2021,Amoebiasis,,
1924,Anthrax,,
1925,Anthrax,,
1926,Anthrax,,
1927,Anthrax,,
1928,Anthrax,,
1929,Anthrax,,
1930,Anthrax,,
1931,Anthrax,2,0.02
1932,Anthrax,0,0
1933,Anthrax,2,0.02
1934,Anthrax,0,0
1935,Anthrax,0,0
1936,Anthrax,6,0.06
1937,Anthrax,1,0.01
1938,Anthrax,1,0.01
1939,Anthrax,0,0
1940,Anthrax,0,0
1941,Anthrax,1,0.01
1942,Anthrax,2,0.02
1943,Anthrax,2,0.02
1944,Anthrax,0,0
1945,Anthrax,0,0
1946,Anthrax,2,0.02
1947,Anthrax,0,0
1948,Anthrax,2,0.02
1949,Anthrax,0,0
1950,Anthrax,0,0
1951,Anthrax,0,0
1952,Anthrax,0,0
1953,Anthrax,0,0
1954,Anthrax,0,0
1955,Anthrax,0,0
1956,Anthrax,0,0
1957,Anthrax,0,0
1958,Anthrax,1,0.01
1959,Anthrax,0,0
1960,Anthrax,0,0
1961,Anthrax,8,0.05
1962,Anthrax,0,0
1963,Anthrax,0,0
1964,Anthrax,0,0
1965,Anthrax,0,0
1966,Anthrax,0,0
1967,Anthrax,0,0
1968,Anthrax,0,0
1969,Anthrax,0,0
1970,Anthrax,0,0
1971,Anthrax,0,0
1972,Anthrax,0,0
1973,Anthrax,0,0
1974,Anthrax,0,0
1975,Anthrax,0,0
1976,Anthrax,0,0
1977,Anthrax,0,0
1978,Anthrax,0,0
1979,Anthrax,0,0
1980,Anthrax,0,0
1981,Anthrax,0,0
1982,Anthrax,0,0
1983,Anthrax,,
1984,Anthrax,,
1985,Anthrax,,
1986,Anthrax,,
1987,Anthrax,,
1988,Anthrax,,
1989,Anthrax,,
1990,Anthrax,,
1991,Anthrax,,
1992,Anthrax,,
1993,Anthrax,,
1994,Anthrax,,
1995,Anthrax,,
1996,Anthrax,,
1997,Anthrax,,
1998,Anthrax,,
1999,Anthrax,,
2000,Anthrax,,
2001,Anthrax,,
2002,Anthrax,0,0
2003,Anthrax,0,0
2004,Anthrax,0,0
2005,Anthrax,0,0
2006,Anthrax,1,0.003
2007,Anthrax,0,0
2008,Anthrax,0,0
2009,Anthrax,0,0
2010,Anthrax,0,0
2011,Anthrax,0,0
2012,Anthrax,0,0
2013,Anthrax,0,0
2014,Anthrax,0,0
2015,Anthrax,0,0
2016,Anthrax,0,0
2017,Anthrax,0,0
2018,Anthrax,0,0
2019,Anthrax,0,0
2020,Anthrax,0,0
2021,Anthrax,0,0
1924,Botulism,,
1925,Botulism,,
1926,Botulism,,
1927,Botulism,,
1928,Botulism,,
1929,Botulism,,
1930,Botulism,,
1931,Botulism,,
1932,Botulism,,
1933,Botulism,1,0.01
1934,Botulism,0,0
1935,Botulism,0,0
1936,Botulism,0,0
1937,Botulism,0,0
1938,Botulism,0,0
1939,Botulism,0,0
1940,Botulism,1,0.01
1941,Botulism,0,0
1942,Botulism,1,0.01
1943,Botulism,0,0
1944,Botulism,6,0.06
1945,Botulism,0,0
1946,Botulism,0,0
1947,Botulism,0,0
1948,Botulism,2,0.02
1949,Botulism,0,0
1950,Botulism,1,0.01
1951,Botulism,0,0
1952,Botulism,0,0
1953,Botulism,0,0
1954,Botulism,0,0
1955,Botulism,0,0
1956,Botulism,0,0
1957,Botulism,3,0.02
1958,Botulism,1,0.01
1959,Botulism,0,0
1960,Botulism,5,0.05
1961,Botulism,9,0.05
1962,Botulism,4,0.02
1963,Botulism,5,0.03
1964,Botulism,4,0.02
1965,Botulism,5,0.03
1966,Botulism,0,0
1967,Botulism,1,0.01
1968,Botulism,2,0.01
1969,Botulism,18,0.13
1970,Botulism,2,0.01
1971,Botulism,10,0.07
1972,Botulism,7,0.03
1973,Botulism,8,0.04
1974,Botulism,10,0.04
1975,Botulism,10,0.04
1976,Botulism,15,0.06
1977,Botulism,6,0.03
1978,Botulism,2,0.01
1979,Botulism,0,0
1980,Botulism,2,0.01
1981,Botulism,4,0.02
1982,Botulism,6,0.02
1983,Botulism,7,0.03
1984,Botulism,9,0.04
1985,Botulism,36,0.14
1986,Botulism,6,0.02
1987,Botulism,26,0.1
1988,Botulism,5,0.02
1989,Botulism,10,0.04
1990,Botulism,4,0.01
1991,Botulism,10,0.04
1992,Botulism,15,0.05
1993,Botulism,7,0.02
1994,Botulism,9,0.03
1995,Botulism,18,0.06
1996,Botulism,15,0.05
1997,Botulism,19,0.06
1998,Botulism,7,0.02
1999,Botulism,9,0.03
2000,Botulism,4,0.01
2001,Botulism,8,0.03
2002,Botulism,10,0.03
2003,Botulism,6,0.02
2004,Botulism,7,0.02
2005,Botulism,1,0.003
2006,Botulism,14,0.04
2007,Botulism,13,0.04
2008,Botulism,11,0.03
2009,Botulism,3,0.01
2010,Botulism,2,0.01
2011,Botulism,7,0.02
2012,Botulism,6,0.02
2013,Botulism,4,0.01
2014,Botulism,0,0
2015,Botulism,12,0.03
2016,Botulism,7,0.02
2017,Botulism,4,0.01
2018,Botulism,8,0.02
2019,Botulism,7,0.02
2020,Botulism,8,0.02
2021,Botulism,6,0.02
1924,Brucellosis,,
1925,Brucellosis,,
1926,Brucellosis,,
1927,Brucellosis,,
1928,Brucellosis,3,0.09
1929,Brucellosis,4,0.1
1930,Brucellosis,79,1.44
1931,Brucellosis,154,2.2
1932,Brucellosis,97,1.52
1933,Brucellosis,176,1.87
1934,Brucellosis,154,1.51
1935,Brucellosis,156,1.51
1936,Brucellosis,174,1.66
1937,Brucellosis,185,1.68
1938,Brucellosis,171,1.54
1939,Brucellosis,139,1.24
1940,Brucellosis,146,1.28
1941,Brucellosis,168,1.46
1942,Brucellosis,152,1.31
1943,Brucellosis,189,1.67
1944,Brucellosis,226,1.97
1945,Brucellosis,288,2.39
1946,Brucellosis,250,2.04
1947,Brucellosis,383,3.18
1948,Brucellosis,308,2.41
1949,Brucellosis,196,1.53
1950,Brucellosis,249,1.83
1951,Brucellosis,191,1.43
1952,Brucellosis,121,0.87
1953,Brucellosis,134,0.9
1954,Brucellosis,133,0.9
1955,Brucellosis,122,0.81
1956,Brucellosis,141,0.88
1957,Brucellosis,120,0.78
1958,Brucellosis,113,0.71
1959,Brucellosis,120,0.69
1960,Brucellosis,142,0.86
1961,Brucellosis,109,0.6
1962,Brucellosis,98,0.53
1963,Brucellosis,57,0.3
1964,Brucellosis,54,0.28
1965,Brucellosis,38,0.19
1966,Brucellosis,21,0.1
1967,Brucellosis,43,0.21
1968,Brucellosis,19,0.09
1969,Brucellosis,16,0.08
1970,Brucellosis,31,0.15
1971,Brucellosis,8,0.04
1972,Brucellosis,16,0.07
1973,Brucellosis,8,0.04
1974,Brucellosis,27,0.12
1975,Brucellosis,30,0.13
1976,Brucellosis,38,0.16
1977,Brucellosis,39,0.17
1978,Brucellosis,12,0.05
1979,Brucellosis,0,0
1980,Brucellosis,0,0
1981,Brucellosis,0,0
1982,Brucellosis,0,0
1983,Brucellosis,15,0.06
1984,Brucellosis,17,0.07
1985,Brucellosis,10,0.04
1986,Brucellosis,9,0.03
1987,Brucellosis,13,0.05
1988,Brucellosis,13,0.05
1989,Brucellosis,13,0.05
1990,Brucellosis,23,0.08
1991,Brucellosis,14,0.05
1992,Brucellosis,18,0.06
1993,Brucellosis,12,0.04
1994,Brucellosis,8,0.03
1995,Brucellosis,7,0.02
1996,Brucellosis,8,0.03
1997,Brucellosis,13,0.04
1998,Brucellosis,7,0.02
1999,Brucellosis,11,0.04
2000,Brucellosis,6,0.02
2001,Brucellosis,9,0.03
2002,Brucellosis,8,0.03
2003,Brucellosis,6,0.02
2004,Brucellosis,8,0.03
2005,Brucellosis,11,0.03
2006,Brucellosis,5,0.02
2007,Brucellosis,10,0.03
2008,Brucellosis,12,0.04
2009,Brucellosis,8,0.02
2010,Brucellosis,10,0.03
2011,Brucellosis,9,0.03
2012,Brucellosis,12,0.03
2013,Brucellosis,23,0.07
2014,Brucellosis,7,0.02
2015,Brucellosis,11,0.03
2016,Brucellosis,9,0.02
2017,Brucellosis,9,0.02
2018,Brucellosis,17,0.05
2019,Brucellosis,11,0.03
2020,Brucellosis,12,0.03
2021,Brucellosis,8,0.02
1924,Campylobacteriosis,,
1925,Campylobacteriosis,,
1926,Campylobacteriosis,,
1927,Campylobacteriosis,,
1928,Campylobacteriosis,,
1929,Campylobacteriosis,,
1930,Campylobacteriosis,,
1931,Campylobacteriosis,,
1932,Campylobacteriosis,,
1933,Campylobacteriosis,,
1934,Campylobacteriosis,,
1935,Campylobacteriosis,,
1936,Campylobacteriosis,,
1937,Campylobacteriosis,,
1938,Campylobacteriosis,,
1939,Campylobacteriosis,,
1940,Campylobacteriosis,,
1941,Campylobacteriosis,,
1942,Campylobacteriosis,,
1943,Campylobacteriosis,,
1944,Campylobacteriosis,,
1945,Campylobacteriosis,,
1946,Campylobacteriosis,,
1947,Campylobacteriosis,,
1948,Campylobacteriosis,,
1949,Campylobacteriosis,,
1950,Campylobacteriosis,,
